file_number	genotype_raw	phenotype_binary	complexity_entropy
1	6,5,4,0,0,3,2,6,2,6,0,5,6,0,7	11000111111111111000000000111111111000000000111111	36.69
2	3,2,0,3,1,5,2,4,1,5,3,7,4,7,5	11001111111000111100001111000111100001111000010000	45.15
3	2,6,0,7,5,3,4,1,5,4,2,5,5,4,0	11110000111111111000111111111000111111111000011111	33.86
6	4,4,2,0,3,3,4,3,0,2,7,1,0,3,5	11111111111111111111111111111111111111111111100000	16.93
7	4,7,4,4,6,7,7,2,1,7,1,3,6,1,3	11100001111111100001111111100001111111100001111111	25.4
11	7,6,3,4,2,5,7,3,4,4,6,3,6,7,4	11111111100001111111111000111111111100001111111111	28.22
12	4,0,5,1,3,4,1,0,1,6,5,2,6,4,3	11110000111110001111100001111100001111000011111000	33.86
13	1,6,0,6,0,6,7,0,2,5,5,4,6,6,4	11111110001111111100011111110001111111100011111111	28.22
14	6,7,4,6,4,3,0,2,1,7,5,5,3,1,6	11000011111100000011111100000011000000000000000000	39.51
15	0,0,7,3,7,0,7,2,6,6,3,2,6,2,4	11000001111000001111000001111000001111000001111100	31.04
16	7,6,1,0,7,2,5,2,6,1,4,0,2,5,5	11111111111111111111110000000000000000011111111111	22.58
18	4,5,3,5,5,5,7,2,7,1,2,5,1,7,5	11110000111111111111111111111000011111111111111111	28.22
19	3,4,1,7,2,3,0,5,6,3,6,4,4,4,7	10011111100001111100001111000000000000000000000000	36.69
20	0,0,2,1,4,6,2,5,1,5,1,7,7,2,1	11001111110011111100111110011111001111110011111001	42.33
21	3,5,0,6,2,7,2,7,3,5,7,4,2,5,7	11000111111111111111000000000111111100000000000000	36.69
22	2,2,1,3,7,7,1,5,4,1,0,2,6,5,6	11100000111111111111111000000011111100000011111100	42.33
24	6,4,0,2,6,0,0,0,4,4,1,6,2,7,6	10000111111111111100000000111111111000000001111111	33.86
25	1,6,7,4,3,1,0,6,3,7,2,0,7,6,6	11000000111000000111100000011100000011100000011100	33.86
26	7,7,4,7,6,6,0,3,2,2,4,4,3,3,1	11110011111110000011110000111100001111100001000000	50.79
27	1,1,7,4,0,6,6,4,5,3,3,6,2,3,3	11100111111001111100011111000111110011111100111111	36.69
28	1,1,5,4,3,1,6,0,7,3,5,7,1,1,0	11110001111111111111000111111111111100011111111111	28.22
29	1,5,3,6,7,2,3,3,5,0,1,6,4,7,1	11111111100001111111111111000111111111111110001111	33.86
31	6,6,4,0,3,3,1,3,5,2,0,6,1,1,4	11000011111111111111111111111111000000000000011111	31.04
32	0,7,7,7,2,6,6,7,3,7,0,5,4,2,7	10001111111111111000111111111110001111111111100011	33.86
33	4,0,1,1,1,4,3,0,1,4,0,4,2,5,2	11110000111111111111111110000000000111111111100000	33.86
34	3,7,7,2,1,7,0,0,5,6,1,3,7,5,0	11100011111100001110000111000011100011110001111000	36.69
35	6,1,0,2,7,7,1,4,5,5,4,1,6,5,2	11100000011110001111000111100011100000100000000000	36.69
36	5,3,6,5,5,7,3,3,5,7,1,0,1,3,2	11110000000000000011111111111111100000000111111110	33.86
37	5,5,7,3,0,2,5,6,7,0,5,2,2,6,5	11111111111111111100000011111111111111111111000000	25.4
38	0,6,2,7,1,0,5,2,5,5,2,1,2,6,3	11111100000000111111111100000000111111111110000000	31.04
39	4,2,4,6,2,5,6,3,0,4,7,7,1,3,7	11111100011111111111111110011111111111111110001111	33.86
40	2,5,6,2,1,2,6,2,7,3,4,5,1,5,3	11110001111111111110001111111111111000111111111111	31.04
41	7,3,1,2,2,3,3,4,4,1,6,7,7,0,6	10011110011100110011100110001100000000000000000000	45.15
42	4,3,1,7,7,2,4,2,6,6,5,4,4,5,6	11000111111110001110000111000111000011000000000000	45.15
43	1,0,1,4,5,3,3,2,0,0,0,4,5,0,6	11100000111111111111110000001111110000000111111000	36.69
