Samples,Entropy,GlobalScaled,LocalScaled,UnscaledMean
10,1.3567796494470397,1.555745530963638,0.5250025309621031,1.5557400000000001
100,4.0049734214047366,3.27446664133566,1.7632485234003326,3.2744550000000006
1000,4.71422835595957,3.041845414324094,2.2624724178074476,3.0418345999999996
10000,5.212724795801663,3.2106062843002574,2.8284138215589087,3.21059487
100000,5.286265280702644,3.240891379969385,3.113169519750683,3.2408798579999996
1000000,5.300287287706237,3.2415966325766883,3.301169323006775,3.2415851081000002
10000000,5.297274488459543,3.239326056964371,3.385359099741164,3.2393145405599997
100000000,5.29851255928223,3.239754482724503,3.2110610968677302,3.2397429647969997
1000000000,5.297656164004287,3.2392402756191023,3.2350405580430928,3.2392287595197002
