Complexity,Freq,Status
8.149112751925383,5437.0,0muts
8.889951605425242,4886.0,0muts
7.408302557568789,4088.0,0muts
9.630761799781833,2214.0,0muts
5.92662485056907,1740.0,0muts
10.371600653281693,1207.0,0muts
6.66746370406893,897.0,0muts
5.1858146562124805,440.0,0muts
4.44497580271262,100.0,0muts
0.0,10.0,0muts
11.112439506781552,5.0,0muts
5.92662485056907,5715.0,1muts
0.0,3378.0,1muts
8.149112751925383,3163.0,1muts
7.408302557568789,2479.0,1muts
8.889951605425242,2366.0,1muts
5.1858146562124805,1748.0,1muts
9.630761799781833,893.0,1muts
6.66746370406893,543.0,1muts
10.371600653281693,486.0,1muts
4.44497580271262,251.0,1muts
11.112439506781552,2.0,1muts
5.92662485056907,7200.0,2muts
0.0,4564.0,2muts
8.149112751925383,2326.0,2muts
5.1858146562124805,2170.0,2muts
7.408302557568789,1760.0,2muts
8.889951605425242,1560.0,2muts
9.630761799781833,531.0,2muts
6.66746370406893,373.0,2muts
10.371600653281693,277.0,2muts
4.44497580271262,262.0,2muts
11.112439506781552,1.0,2muts
5.9266,1699753.0,Rand
0.0,467555351.0,Rand
5.9266,1184224.0,Rand
8.89,159480.0,Rand
5.1858,4317484.0,Rand
5.9266,5528101.0,Rand
6.6675,544401.0,Rand
5.9266,3806623.0,Rand
5.9266,3878480.0,Rand
5.9266,627075.0,Rand
5.9266,3007991.0,Rand
8.1491,935957.0,Rand
5.9266,7769494.0,Rand
5.9266,4860153.0,Rand
5.9266,3763304.0,Rand
5.9266,3156347.0,Rand
5.9266,2572493.0,Rand
5.9266,4411131.0,Rand
5.9266,2045958.0,Rand
5.1858,6191765.0,Rand
7.4083,514237.0,Rand
5.9266,5817196.0,Rand
5.9266,2801854.0,Rand
5.9266,2404011.0,Rand
5.9266,2427949.0,Rand
8.1491,241240.0,Rand
5.9266,2256463.0,Rand
5.9266,3069375.0,Rand
5.9266,2140277.0,Rand
7.4083,333204.0,Rand
5.1858,2186008.0,Rand
5.1858,1798520.0,Rand
5.1858,2014163.0,Rand
5.9266,4486077.0,Rand
5.9266,3785535.0,Rand
8.1491,233574.0,Rand
5.9266,3340509.0,Rand
5.9266,1923627.0,Rand
5.9266,3171886.0,Rand
5.9266,537222.0,Rand
5.9266,2058726.0,Rand
5.9266,1219500.0,Rand
5.9266,3436814.0,Rand
5.9266,3865503.0,Rand
5.9266,2893269.0,Rand
5.1858,2464655.0,Rand
5.9266,2554300.0,Rand
5.9266,2799365.0,Rand
5.9266,1379939.0,Rand
5.1858,2104564.0,Rand
4.445,4222611.0,Rand
5.9266,4094752.0,Rand
5.9266,2325365.0,Rand
5.9266,4236172.0,Rand
6.6675,586356.0,Rand
8.1491,418727.0,Rand
5.9266,2528415.0,Rand
5.1858,5654006.0,Rand
5.9266,5070818.0,Rand
5.9266,1306375.0,Rand
5.1858,2381099.0,Rand
5.9266,3633469.0,Rand
5.9266,1445202.0,Rand
5.1858,3485163.0,Rand
5.9266,2233556.0,Rand
5.9266,2328174.0,Rand
5.1858,1755195.0,Rand
8.89,20871.0,Rand
5.1858,5436206.0,Rand
5.1858,4007872.0,Rand
8.1491,152426.0,Rand
5.9266,2737422.0,Rand
9.6308,350792.0,Rand
5.9266,4604197.0,Rand
5.9266,1498117.0,Rand
8.1491,343147.0,Rand
5.9266,3059246.0,Rand
5.9266,1360638.0,Rand
5.9266,4513291.0,Rand
5.9266,3116057.0,Rand
5.9266,521239.0,Rand
5.9266,4207868.0,Rand
5.9266,3295258.0,Rand
5.1858,3745481.0,Rand
5.1858,1677204.0,Rand
7.4083,201275.0,Rand
5.9266,2004802.0,Rand
5.9266,1248222.0,Rand
8.1491,115965.0,Rand
5.1858,4971973.0,Rand
8.89,114385.0,Rand
5.9266,4697291.0,Rand
10.3716,107892.0,Rand
5.9266,4015281.0,Rand
5.9266,2641017.0,Rand
5.1858,4559483.0,Rand
5.1858,1424851.0,Rand
5.9266,664848.0,Rand
5.9266,3177391.0,Rand
5.1858,3644166.0,Rand
5.9266,3224562.0,Rand
5.9266,3322277.0,Rand
5.9266,3037794.0,Rand
8.1491,226411.0,Rand
8.1491,111889.0,Rand
5.9266,2186805.0,Rand
8.1491,36254.0,Rand
5.1858,5105103.0,Rand
6.6675,201390.0,Rand
5.9266,2381410.0,Rand
5.9266,724758.0,Rand
5.9266,801012.0,Rand
8.89,71275.0,Rand
5.9266,4792801.0,Rand
5.9266,1387760.0,Rand
5.9266,1142857.0,Rand
8.1491,81226.0,Rand
8.89,50045.0,Rand
5.9266,2381242.0,Rand
5.1858,4735720.0,Rand
5.1858,2088659.0,Rand
8.89,824.0,Rand
5.9266,3875758.0,Rand
8.1491,372979.0,Rand
8.1491,100809.0,Rand
8.89,2018.0,Rand
5.9266,2837531.0,Rand
5.9266,3696223.0,Rand
8.1491,654345.0,Rand
5.9266,1229544.0,Rand
5.9266,1091279.0,Rand
8.1491,333861.0,Rand
5.9266,3425839.0,Rand
8.89,112135.0,Rand
4.445,2587063.0,Rand
5.9266,5500049.0,Rand
5.9266,3139179.0,Rand
8.1491,28450.0,Rand
5.1858,3297183.0,Rand
8.1491,302015.0,Rand
7.4083,129253.0,Rand
5.1858,1100916.0,Rand
7.4083,99640.0,Rand
5.9266,1251447.0,Rand
5.1858,2011894.0,Rand
4.445,1735091.0,Rand
9.6308,591567.0,Rand
6.6675,177840.0,Rand
5.9266,1984430.0,Rand
7.4083,329603.0,Rand
8.89,360903.0,Rand
5.9266,5143426.0,Rand
8.89,216072.0,Rand
5.9266,2014376.0,Rand
5.9266,5186688.0,Rand
5.1858,3932509.0,Rand
5.9266,690476.0,Rand
8.89,291894.0,Rand
5.9266,3593132.0,Rand
8.1491,33219.0,Rand
5.9266,3187780.0,Rand
8.1491,132584.0,Rand
10.3716,397740.0,Rand
8.1491,270962.0,Rand
8.1491,283370.0,Rand
7.4083,115143.0,Rand
5.1858,1196404.0,Rand
10.3716,234724.0,Rand
6.6675,186679.0,Rand
5.9266,3721613.0,Rand
5.9266,7478711.0,Rand
5.9266,3007874.0,Rand
5.9266,2348102.0,Rand
5.9266,2620966.0,Rand
5.9266,3586663.0,Rand
8.1491,137216.0,Rand
5.1858,1892575.0,Rand
5.9266,2142099.0,Rand
6.6675,76439.0,Rand
8.1491,262790.0,Rand
5.9266,2761970.0,Rand
9.6308,156159.0,Rand
8.1491,291467.0,Rand
7.4083,280490.0,Rand
8.1491,52097.0,Rand
9.6308,362893.0,Rand
7.4083,216322.0,Rand
8.89,84719.0,Rand
5.9266,1944330.0,Rand
9.6308,48192.0,Rand
5.1858,1758391.0,Rand
5.9266,1539930.0,Rand
5.9266,1327861.0,Rand
5.9266,127624.0,Rand
5.9266,976923.0,Rand
5.9266,2781593.0,Rand
5.9266,1613301.0,Rand
8.89,185327.0,Rand
5.1858,1136401.0,Rand
5.1858,1203454.0,Rand
5.9266,5590123.0,Rand
8.89,155232.0,Rand
8.89,234433.0,Rand
5.9266,1539260.0,Rand
