file_number	genotype_raw	phenotype_binary	complexity_entropy
8	2,3,1,3,2,0,0,6,0,1,4,7,4,2,5	11111000011111111111111000011111110000111111000011	39.51
18	4,5,7,5,5,5,6,6,1,1,2,5,0,0,0	11111111111111111110000000011111111111111111111111	22.58
31	6,6,4,4,5,7,4,7,5,0,1,6,1,1,2	11111110000001111111111111111111111111111111111111	22.58
33	4,0,1,1,5,1,7,2,1,7,0,4,4,6,2	11111111100000000001111111111111111111111111111111	22.58
36	0,3,6,2,1,4,7,1,5,7,7,7,5,7,2	11111111111000011111111100001111111110000111111111	25.4
37	3,5,4,2,0,2,5,4,2,0,2,2,2,6,3	11111111111111111111111111111111111111111111111111	5.64
43	1,0,1,0,5,1,5,7,1,6,0,4,5,7,6	11111100000000011111111111111111111111111111111110	25.4
45	4,5,4,3,2,7,4,2,1,6,1,3,2,6,0	11111111111111111111111111110000000111111111111111	22.58
46	6,5,7,6,1,6,5,2,6,4,1,1,4,1,6	11100000000000001111111111111110000000011111111000	36.69
54	6,7,3,4,0,1,4,6,4,4,7,0,6,2,5	11111111111111111000000000000000000011111111111111	22.58
63	3,0,2,2,1,7,7,4,5,0,3,5,3,5,0	11111111111111111111111111111111111111111111111111	5.64
71	5,4,1,3,3,5,7,4,4,6,3,6,0,5,3	11111000000011111111111111111111111111111111111111	22.58
78	7,0,0,0,5,1,2,3,6,7,3,4,0,4,7	11000000001111111111111111111111111111111111111111	22.58
83	4,7,1,6,7,4,0,7,1,1,3,7,1,6,7	11110000011111111111111111111111111111111111111111	22.58
84	1,4,4,6,3,5,6,1,2,5,4,5,1,2,1	11111111111000000111111111111111111111111111100000	25.4
91	0,3,3,6,3,4,7,6,6,2,0,3,5,0,1	11111000000001111111111111111111111111100000000111	28.22
94	6,2,1,5,3,3,3,6,5,6,0,3,0,1,5	11000000000000001111111111111111111111111111111111	22.58
114	4,2,1,5,5,1,4,5,7,0,0,2,1,1,3	11111110000000000000000011111111111111111111111111	22.58
115	2,3,4,0,5,2,2,3,1,6,6,2,2,5,5	11111111111111000000000011111111111111111111111111	22.58
118	4,5,0,4,3,1,2,5,1,1,0,6,4,3,4	11111000000011111111111111111111111111111111111100	28.22
126	7,5,4,6,0,7,0,2,7,1,3,3,6,1,7	11111111111111111000000001111111000000001111111100	31.04
128	5,1,2,0,1,1,5,5,4,4,5,2,4,6,7	11111111110000000000111111111111111110000000000111	28.22
129	2,3,4,3,6,3,2,2,2,1,6,1,1,1,4	11111111111111110000000000000000111111111111111111	22.58
131	2,1,0,3,1,7,7,4,2,2,5,7,5,4,6	11111111100001111111111111111000011111111111111110	28.22
133	5,4,0,4,6,2,6,2,6,3,2,2,1,2,6	11110000000000000000111111111111111111111111111111	22.58
134	5,6,3,2,5,2,4,4,0,7,5,0,6,3,0	11111111111111111111111111111111111111111111111111	5.64
170	2,6,1,5,1,6,3,6,0,2,3,2,7,3,1	11111111111111111111111111111111111111111111111111	5.64
174	6,3,7,0,3,4,5,5,4,7,2,1,0,0,5	11110000000000000000000111111111111111111111111111	22.58
176	0,2,3,2,5,7,0,0,3,4,4,5,4,1,0	11111100001111111111000000011111111000000011111110	36.69
178	4,4,0,0,1,0,5,7,7,5,1,5,0,0,4	11100000000001111111111111111111111111111111111111	22.58
185	7,2,5,6,1,0,7,6,2,7,0,7,0,7,7	11110000000000011111111111111111111111111111111111	22.58
189	4,0,1,5,2,1,4,5,0,1,0,2,1,6,6	11111111111111111111111000000000000000111111111111	22.58
191	5,7,7,3,6,6,6,4,1,6,7,4,5,7,5	11111111111111111111110000001111111111111111111111	22.58
193	5,6,3,2,3,4,7,0,7,1,5,0,5,6,6	11111111111111111111111111111111111111111111111111	5.64
194	5,1,1,4,3,7,4,0,0,6,7,0,1,6,7	11111111111111111111111111111111111111111111111111	5.64
196	6,3,4,6,6,7,0,3,4,0,4,7,5,5,0	11111111111111111000011111111000001111100000011111	36.69
