file_number	genotype_raw	phenotype_binary	complexity_entropy
4	6,3,5,2,0,1,6,3,4,3,1,0,4,7,7	11111111111111111100000000000000000000001111111111	22.58
6	4,7,6,0,3,3,7,3,5,7,7,1,2,1,7	11111110000000000000001111111111111111111100000000	28.22
10	0,5,4,2,1,4,0,3,6,3,3,0,2,6,1	11111111111111000000000000001111111111111100000000	25.4
16	7,6,1,0,7,2,5,2,0,2,4,0,6,5,2	11111111111111111111111111111111111111111111111111	5.64
17	7,7,0,3,2,3,0,7,2,5,1,6,5,7,0	11111100000000000000000011111111111100000000000011	31.04
23	6,5,6,2,0,4,7,0,3,7,6,3,2,7,3	11111111111111111100000000111111111111111111111111	22.58
29	1,5,4,6,7,7,2,4,7,0,1,6,4,3,1	11111111000001111111111111111110000011111111111111	28.22
30	5,0,0,4,5,5,5,1,2,4,7,3,4,6,5	11111111111111100000000111111111111110000001111110	33.86
47	2,5,3,5,7,2,5,4,0,0,0,4,7,3,1	11111111111111111111111111111111111111111111111111	5.64
49	2,2,3,0,6,5,1,2,7,7,0,1,1,1,5	11100000000000000000111111111111111111111111111111	22.58
50	3,2,0,1,6,3,6,7,5,1,5,1,2,4,4	11111111111111111111111111111111110000000000000000	16.93
53	5,0,0,5,6,2,2,1,0,1,4,0,2,2,0	11111111111111111111111111111111111111111111111111	5.64
58	3,0,6,0,5,4,6,2,5,1,3,4,2,4,1	11111111111111111111111110000000111111111111111111	22.58
74	3,2,0,7,0,1,4,5,1,7,3,4,0,6,0	11111111111111111111111000000000111111111111111111	22.58
76	1,5,6,2,7,6,4,1,4,1,6,0,6,1,4	11111111111111111111111111111110000000000000000001	19.75
86	5,4,6,7,0,4,2,6,2,7,2,1,1,0,6	11100000000000111111111111111111111111111110000000	28.22
98	7,7,2,2,2,3,0,3,1,7,3,0,2,0,2	11111111000000000000000001111111111111111111100000	28.22
101	0,7,2,0,5,4,6,4,0,2,7,0,4,5,7	11111111111111111111111111111111111111111111111111	5.64
102	4,6,7,7,4,4,4,0,0,6,3,5,5,4,7	11111111000001111111111111000001111111111111100000	31.04
103	4,4,7,3,7,1,4,5,6,5,7,0,7,5,0	11111111111111111111111111111111111111111111111111	5.64
105	3,6,6,1,5,0,5,0,3,4,0,3,5,7,7	11111100000000001111111111111111111111111111111000	28.22
108	4,1,7,7,4,1,1,2,7,4,3,5,6,1,1	11000001111111111000000111111000000111111000000111	36.69
110	2,0,7,7,5,6,5,4,6,6,5,0,1,5,5	11111111111111110000000000000000000000000001111111	22.58
111	7,1,6,1,5,3,6,3,6,2,3,7,4,3,2	11111100000111111111111111110000011111111111111111	25.4
120	1,4,4,6,3,6,6,1,2,7,4,7,1,6,1	11111111111111000011111111111111111111111111110000	25.4
122	6,7,1,6,5,1,3,6,5,2,7,1,7,1,7	11111000000000000011111110000011111000001111100000	36.69
123	7,3,4,0,0,4,2,2,6,0,6,4,3,2,1	11111111111111111111000000011111111111111111111110	25.4
130	5,0,7,4,5,6,7,0,4,0,1,3,4,1,1	11111111111111111111000000001111111111111111111111	22.58
135	6,3,3,4,2,0,7,0,4,1,6,4,4,0,0	11111111111111111110000000011111111111111111111111	22.58
161	6,6,7,4,4,6,2,3,2,0,7,5,2,4,6	11111111111111111111000000111111111111111111111111	22.58
175	7,0,0,5,4,3,2,0,1,0,7,6,3,6,1	11111111111111111111111111111111111111111111111111	5.64
187	4,5,7,2,6,3,6,0,3,6,5,1,2,3,0	11111111111111111111111111111111111111111111111111	5.64
188	3,3,1,4,1,7,1,5,4,5,7,0,3,7,0	11111111111111111111111111111111111111111111111111	5.64
190	5,3,4,3,4,3,3,3,6,4,6,3,1,1,4	11100000000011111111111111111111111111111111111111	22.58
200	2,0,4,3,7,5,0,0,1,6,3,0,7,6,6	11111110000000000000111111000000001111110000000011	31.04
205	4,1,1,6,1,5,6,7,3,7,1,6,7,7,0	11111111111000001111111111111111100000111111111111	28.22
209	6,6,1,4,5,7,1,2,6,4,2,4,6,6,7	11000000011111111111100000000111111110000000011111	36.69
217	2,6,7,5,3,4,5,2,3,5,2,0,3,4,6	11111111111111000000000000000000000111111111111111	22.58
219	5,0,0,4,7,6,4,7,1,3,3,6,2,2,7	11100000001111111111111111111111111000000000000000	25.4
224	1,7,6,1,4,2,7,6,7,1,3,3,3,6,0	11111111111111111111111111111111111111111111111111	5.64
226	6,2,0,1,2,5,0,1,0,1,7,0,0,6,3	11111111111111111111111111111111111111111111111111	5.64
232	4,0,5,4,1,3,5,2,5,7,3,2,0,2,4	11110000000000001111111111111111111111111111111111	22.58
236	7,4,1,4,4,3,3,7,5,0,6,1,4,7,2	11111111111111111111111111111111111111111111111111	5.64
237	5,0,7,2,7,1,7,4,5,0,7,2,4,5,7	11111111111111111111111111111111111111111111111111	5.64
241	1,2,3,0,4,1,5,0,7,4,5,7,6,3,6	11100001111111111000011111111110000111111111000001	33.86
242	1,5,0,0,6,5,2,1,6,0,1,1,2,1,5	11111110000000000000000011111111111111111111111111	22.58
245	3,2,3,3,2,2,3,4,0,6,5,1,0,2,4	11111111111111111111000000000000000000011111111111	22.58
247	4,3,5,1,4,5,5,0,0,5,6,2,2,3,5	11111111111111111111111111111111000000000001111111	22.58
250	2,7,6,7,0,1,6,3,4,6,2,1,3,4,0	11111111111111111111111111111111100000000000011111	22.58
257	0,2,7,0,1,2,4,6,7,1,0,2,6,7,1	11111111111111110000000111111111111111110000000111	25.4
258	0,0,7,6,4,0,2,6,0,2,2,2,5,1,1	11111111111111111111111000000001111111111111111111	22.58
260	5,3,2,0,1,2,0,7,6,0,2,0,7,5,2	11111111111111111111100000000000000000111111111111	22.58
261	3,7,1,1,7,0,7,4,7,4,1,2,3,3,3	11111100000000000000011111111111111111111111111000	28.22
263	5,7,1,1,7,6,2,6,1,0,7,4,5,4,6	11111111111111111111111111111111110000000111111111	22.58
264	0,2,3,3,6,6,4,2,1,1,4,1,7,5,7	11111111111111111111111111111111111111111111111110	14.11
265	6,3,5,2,6,3,2,5,6,1,3,5,5,1,0	11111111000001111111111111110000011111111111111100	28.22
266	2,4,1,6,1,3,7,7,7,6,0,5,1,2,1	11110000000001111111111111111111111111111111111111	22.58
268	2,0,7,3,6,6,5,4,6,1,1,2,7,4,1	11111111111111111100000000011111111111111111111000	28.22
270	1,5,5,5,4,6,7,4,0,5,5,2,1,7,4	11111111111111111111111111111111111111111111111111	5.64
271	1,1,7,5,6,5,7,6,5,2,7,6,1,3,5	11111111000001111111111111111111111111111000001111	28.22
275	5,2,4,5,5,4,7,6,4,5,5,0,0,5,7	11111111111111111111111110000000000000000000000000	16.93
278	4,6,7,5,3,6,1,3,2,0,5,4,5,3,4	11111111111111100000111111111111100000011111111111	31.04
283	4,0,6,7,7,6,1,7,6,4,5,6,0,1,2	11000001111111111111111111111111111111111111111111	22.58
294	3,1,4,2,6,6,1,0,4,4,6,1,4,7,2	11111111111111110000000000011111111111111110000000	25.4
296	7,1,7,2,0,1,6,3,2,1,6,3,1,5,1	11111111111111111111111111111111111111111111111111	5.64
305	2,4,3,1,0,4,0,0,1,7,3,5,2,0,0	11111111111110000000000000000000000011111111111111	22.58
314	6,0,7,7,6,5,0,3,6,6,2,4,7,0,2	11111110000011111110000000001111111100000000111111	33.86
320	3,6,5,1,5,7,6,2,2,5,3,2,0,6,3	11111111111111111111100000000000001111111111111111	22.58
325	4,2,6,5,7,1,5,4,2,2,5,1,0,1,3	11111111111111111111100000000000000000000011111111	22.58
326	1,7,0,1,4,6,4,4,1,0,4,7,1,3,7	11111111111111111000000111111111111111111111111111	22.58
329	4,4,7,1,0,5,4,5,3,4,3,0,7,7,1	11111111111111111111111111111111111111111111111111	5.64
330	3,0,6,7,2,6,4,2,5,7,3,4,0,3,0	11111111000000011111111111111111111111111111111111	22.58
335	7,6,7,3,6,1,3,7,4,6,6,4,0,6,5	11111000000000111111111111111111111111111111111111	22.58
338	7,7,5,3,7,3,5,0,1,7,6,4,0,1,1	11111111111000000000111111111111111111111111111111	22.58
339	3,5,4,4,1,1,6,0,2,0,2,0,7,7,2	11111111111111111111111111111111111111111111111111	5.64
343	3,4,3,7,7,7,1,1,1,4,6,2,4,6,6	11111111110000000011111111111111000000001111111111	28.22
347	0,1,5,1,1,5,1,0,2,3,2,6,3,2,5	11100001111111111111000001111110000011111100000111	36.69
350	6,4,7,5,0,2,5,3,1,4,4,0,1,1,5	11111111111111111111110000000000000000000000000011	22.58
354	1,6,7,2,0,0,4,5,1,0,7,2,4,2,4	11111111111111111111111111111111111111111111111111	5.64
358	0,0,7,4,7,5,7,4,6,3,0,4,6,7,6	11111000000011111111111111111111111000000111111111	28.22
363	3,5,1,3,0,3,5,3,6,2,5,7,7,6,3	11111111000011111111111000011111111111000011111111	28.22
364	5,7,7,0,6,4,0,0,2,6,7,4,1,0,0	11111111111111111111111111111111111111111111111111	5.64
365	2,2,6,4,5,7,1,4,4,6,2,1,1,7,5	11111000000000000011111111111111111111111111111110	25.4
373	6,6,5,2,3,0,2,2,6,0,4,6,2,2,3	11111110000001111111111111111111111111100000011111	28.22
376	5,2,4,6,2,4,3,0,7,1,4,1,6,3,0	11111111111111111111111111111111111111111111111110	14.11
377	1,7,7,1,6,5,0,5,0,4,0,3,0,2,2	11111111000000000000111111111111111111111111111111	22.58
380	6,0,3,2,2,7,5,2,2,5,1,0,4,0,3	11111100000000000000000000011111111110000000000001	31.04
383	0,3,0,6,0,5,4,1,7,0,4,3,0,2,6	11111111100000000011111111111111111111111111111111	22.58
386	1,7,4,2,4,1,7,1,0,4,7,3,7,3,5	11111111111111111111111111111111111111111111111000	16.93
397	2,0,5,4,2,7,5,4,4,6,3,1,6,4,1	11111111111111111110000000000111111111111111111000	25.4
401	1,3,0,6,2,0,3,2,7,0,4,2,2,3,1	11111111111111111111111111111111100000000000001111	22.58
405	1,1,7,4,1,6,5,3,1,2,6,1,0,7,0	11111111111111111111111111111111111111111111111111	5.64
412	5,6,0,5,2,6,5,5,6,2,3,0,4,2,4	11111111111111100000000000000000000000011111111110	25.4
443	4,0,6,7,0,7,4,4,5,7,5,1,7,6,0	11111111111111111111111111111111111111111110000000	16.93
