file_number	genotype_raw	phenotype_binary	complexity_entropy
4	6,3,4,5,0,1,6,4,4,3,1,0,4,1,7	11111100000000000000000000001111111111111110000000	28.22
6	4,7,6,0,3,2,1,3,5,7,3,5,2,1,7	11100000111111111111111111111100000000011111111100	33.86
10	0,5,4,5,1,4,0,3,3,3,3,2,7,6,1	11111111100000111111100000111111100000111111100001	28.22
16	7,2,1,2,7,2,5,2,6,2,4,0,6,2,2	11111111111111111111111111110000000000000000000000	16.93
17	7,7,0,3,2,3,0,7,2,3,1,2,5,1,2	11110000000000000000001111111111100000000000011111	31.04
23	6,5,6,6,0,4,7,0,4,3,6,3,2,7,3	11111111111111111111111111110000000011111111111111	22.58
29	1,5,0,6,6,6,2,4,7,0,7,6,4,3,1	11111111111111110000001111111111111111111100000011	28.22
30	6,0,0,1,6,5,5,1,2,4,7,3,7,6,5	11111111111111000000001111111100001111000011110000	33.86
47	2,1,3,5,0,2,5,3,0,0,0,3,7,3,1	11111111111111111111111111111111111111111111111111	5.64
49	2,2,3,0,6,3,1,2,5,7,0,6,1,1,5	11000000000011111111111111111111111111111111111111	22.58
50	3,2,0,0,6,3,2,1,5,1,5,0,2,4,4	11111111111111111111111111111110000000000000000000	16.93
53	5,0,0,5,6,2,1,1,0,1,5,0,2,3,2	11111111111111111111111111111111111111111111111111	5.64
58	3,0,6,0,2,4,6,2,5,1,2,4,2,4,1	11111111111111111111000000011111111111111111111111	22.58
74	3,2,0,6,0,2,4,2,1,7,3,2,0,6,0	11111111111111111111111111111111111111111110000000	16.93
76	1,5,5,2,7,6,4,7,6,1,6,0,6,1,4	11111111111111111111111000000000000000001111111111	22.58
86	5,4,6,7,5,0,2,6,2,7,3,1,1,0,0	11111111000000000000000000111111111111111111111111	22.58
98	7,7,2,7,2,4,0,3,1,2,7,0,2,0,2	11111111111100000000000000000001111111111111111111	22.58
101	0,7,2,2,0,4,6,4,2,2,3,0,4,5,7	11111111111111111111111111111111111111111111111111	5.64
102	4,5,7,7,4,3,4,0,0,6,4,5,5,4,3	11111111111111100000111111111111111111100000111111	28.22
103	4,4,7,3,7,1,2,5,6,5,2,0,3,6,0	11111111111111111111111111111111100000000000000000	16.93
105	3,6,3,1,5,0,5,0,4,4,0,2,5,7,7	11111100000000000000111111111111111111111111111111	22.58
108	4,1,5,7,4,0,1,2,7,4,3,6,6,1,2	11000011111111111000000111111100000001111111000000	36.69
110	1,7,7,7,5,6,5,1,6,3,5,0,1,5,5	11111111111111111111111111110000000000000000000000	16.93
111	7,2,6,1,4,3,6,5,6,2,3,7,2,3,2	11111100000011111111111111111111111110000011111111	28.22
120	1,4,4,6,3,6,7,1,2,7,4,7,3,6,1	11111111111111110000111111111111111111110000111111	28.22
122	2,7,1,2,5,5,3,6,3,2,7,1,7,1,7	11111111100000000000111111111100000000000011111111	28.22
123	7,3,4,0,0,4,4,2,6,0,6,4,3,2,6	11111111110000000111111111111111110000000111111111	28.22
130	4,0,7,4,5,6,7,0,1,0,1,3,6,5,1	11111111111111111111111111111111111111111111111111	5.64
135	0,3,3,4,4,0,7,0,4,1,3,4,4,0,0	11111111111111100000000111111111111111111111000000	28.22
161	6,6,4,4,4,6,4,3,2,0,4,1,2,4,6	11111111111111111111111111111111111111111111111111	5.64
