file_number	genotype_raw	phenotype_binary	complexity_entropy
3	2,6,7,4,5,3,4,0,5,4,2,3,1,4,0	11111111111111110000000011111111111111111111111111	22.58
5	3,7,6,7,7,3,3,6,7,2,3,6,1,1,6	11000000111111111111111111111111111111111111111111	22.58
9	5,2,2,4,3,3,5,4,5,0,2,7,7,5,3	11111111111110000011111111111111111110000011111111	28.22
11	7,2,3,4,2,5,7,3,3,0,6,2,6,2,2	11111111111111111111111111111111111111111111111111	5.64
12	4,7,5,1,5,4,7,0,1,6,5,2,6,4,3	11111111111111111111111111111111000000000111111111	22.58
13	0,6,0,6,0,6,5,7,2,3,5,4,7,6,4	11111111111111111000001111111111111111000001111111	25.4
24	6,1,0,2,6,0,0,0,4,4,6,2,2,7,6	11000000000111111111111111111111111111111000000000	25.4
38	0,1,2,7,1,0,5,0,5,7,7,2,2,6,3	11111111111110000000000111111111111111111111100000	28.22
48	7,7,0,5,2,6,3,2,7,3,2,7,7,4,6	11000001111111111100000000111111110000000011111111	33.86
52	2,0,0,6,1,5,7,2,4,0,2,5,0,7,6	11111111111111111111000000001111111111111111111111	22.58
55	4,2,3,1,0,3,2,7,2,5,0,1,4,7,2	11111111111000000000000011111111111111111111111000	28.22
59	0,0,3,7,3,3,4,2,3,3,5,4,6,0,0	11111111000000111111111100000111111111110000011111	33.86
60	5,4,5,5,1,2,2,1,2,0,0,6,6,5,4	11111111100000111111111111111111111111000001111111	28.22
62	6,2,5,1,0,7,5,4,2,3,1,6,5,4,2	11111111000011111111111111000011111111111111000011	28.22
65	1,3,7,5,5,5,6,0,1,4,1,3,7,6,2	11111111111111111111000000011111111111111111111100	25.4
68	3,7,5,5,7,3,2,2,1,3,3,7,0,5,5	11111100000111111111111111111111111111111111111111	22.58
75	0,7,4,2,6,1,2,1,5,2,3,3,4,3,3	11111100000000111111111111100000001111111111111000	31.04
80	1,0,1,7,2,3,1,0,5,6,0,7,1,0,1	11000000000000111111111111111111111111111111111000	28.22
82	5,6,3,7,6,7,3,2,6,0,2,4,3,4,0	11111111111111111111111111111111111000000011111111	22.58
87	1,2,1,3,4,7,0,5,4,6,1,1,7,2,3	11111111111111111111111111000000000001111111111000	25.4
89	1,2,4,6,3,5,6,0,5,4,0,1,6,4,7	11111000000000000000111111111111111111111000000011	31.04
97	7,7,5,2,5,6,2,4,4,1,0,1,6,4,5	11111111000000000000000111111111111111111111111110	25.4
99	0,5,2,1,0,3,1,6,7,5,3,4,2,7,1	11111100000111111111111000001111111111110000011111	28.22
100	5,7,2,1,5,1,5,6,3,2,3,4,1,3,2	11111111111110000000001111111111111111111111111111	22.58
104	2,4,0,7,6,4,7,7,0,7,7,1,2,0,7	11111111100000000000000000111111111111111111111110	25.4
106	7,3,2,2,6,1,3,0,7,0,3,1,5,7,2	11111111111111111111111111111111111111111111111111	5.64
107	6,0,1,3,6,4,5,1,3,3,0,2,3,3,7	11111000000000000001111111111111111111111111111111	22.58
116	3,2,4,1,2,2,3,3,7,4,1,0,3,2,4	11111000000000000000000000001111111111111000000000	28.22
117	1,6,1,5,5,0,6,0,0,4,6,5,3,0,0	11111111111111111111111111110000001111111111111111	22.58
121	2,2,6,7,2,7,5,1,6,4,3,4,0,1,6	11000000001111111111111111111111111111111111111111	22.58
125	7,7,1,7,7,5,1,3,4,5,4,0,7,4,3	11111111100000000000000000000111111000000011111110	33.86
132	1,3,3,0,5,5,0,0,7,0,3,5,2,0,3	11110000011111111111111111111100000000011111111100	33.86
136	3,1,3,3,4,4,6,4,0,3,0,7,2,3,6	11111110000001111111111111111111111111111111111111	22.58
