file_number	genotype_raw	phenotype_binary	complexity_entropy
8	2,4,1,3,2,0,7,6,7,0,4,4,0,2,6	11111111110000000000011111111111111111111111111111	22.58
18	4,5,3,5,5,5,7,2,1,1,2,5,1,7,6	11111111111111111111111100000000111111111111111111	22.58
31	6,6,4,0,3,3,7,0,5,2,0,6,1,1,4	11110000000011111111111111111111111111111111111111	22.58
33	4,0,1,1,1,4,3,0,1,4,0,4,2,5,2	11111111000000001111111111111111111111111111111111	22.58
36	5,3,6,5,5,7,3,3,5,7,7,0,1,7,2	11111111111111111111111111111111111100000000000000	16.93
37	5,5,4,3,0,2,5,6,7,0,1,2,2,6,5	11111111111111110000000000011111111111111111111111	22.58
43	1,0,1,4,5,3,5,2,0,0,0,4,5,4,6	11111111111111111111111100000000111111111111111111	22.58
45	6,5,5,3,2,7,6,4,5,2,1,3,2,7,2	11111111111111000000000111111111111111111111111111	22.58
46	3,5,7,6,5,6,4,2,6,1,1,1,2,5,1	11111111111111111111111111000000000000001111111111	22.58
54	3,6,4,3,0,3,2,6,4,4,7,0,6,2,5	11111111111000000000000000111111111110000000000000	25.4
63	3,4,2,4,1,7,6,4,5,0,3,5,3,5,1	11111111111111111111111111111111111111111111111000	16.93
71	5,4,1,3,2,5,7,4,2,0,3,6,0,2,6	11111111111111000000011111111111111111111111111111	22.58
78	7,4,0,0,7,5,3,2,6,5,3,4,0,4,7	11100000000011111111111111111111111111111111111111	22.58
83	3,5,3,6,7,4,0,2,6,4,3,7,1,6,7	11000001111111111111111111111111111111111111111111	22.58
84	0,4,0,6,3,7,6,3,2,7,4,7,1,2,1	11111100000111111111111111111111111111100000011111	28.22
91	2,3,1,2,0,4,1,1,6,2,0,3,0,0,6	11000000000000001111111111111111111111111111111111	22.58
94	0,2,3,5,3,3,3,6,2,6,0,5,0,3,4	11100000000000011111111111111111111111111111111111	22.58
114	6,2,2,1,1,0,4,5,7,0,5,2,4,1,6	11111111100000000000111111111111111111000000000001	28.22
115	3,7,0,4,5,2,4,5,3,0,6,2,2,1,5	11111111111111111110000000000000111111111111111111	22.58
118	6,5,0,0,3,4,3,5,4,1,0,6,4,3,4	11111000000111111111111111111111111111111111111111	22.58
126	6,5,4,1,0,6,7,3,7,2,3,3,0,1,7	11110000000001111111111111111111111111111111111111	22.58
