file_number	genotype_raw	phenotype_binary	complexity_entropy
4	1,5,4,3,0,4,2,4,5,3,1,0,4,1,6	11110000000000000001111111111000000000000001111111	28.22
6	4,3,6,1,3,1,4,3,5,7,4,3,2,7,7	11110000000000111111111111111111111000000000111111	28.22
10	0,6,4,5,5,3,7,3,2,4,3,2,7,6,1	11111111111111111111111111111111111111111111111111	5.64
16	7,4,1,4,7,2,1,2,1,0,4,6,6,2,2	11111111111100000011111111111111111000000111111111	28.22
17	6,5,3,1,7,3,0,7,2,6,1,5,5,1,2	11110000000000000000011111111111000000000000111111	31.04
23	6,7,6,6,0,0,7,2,5,3,6,3,2,7,3	11111111111111111111111100000000011111111111111111	22.58
29	5,1,0,6,4,6,7,4,7,2,1,6,4,3,2	11111000000111111111111111111110000000000001111111	31.04
30	6,7,0,2,7,6,6,1,2,4,7,3,7,6,2	11111111111111111111111111111111100000000011111111	22.58
47	2,1,0,1,3,2,4,1,2,0,0,3,7,5,1	11111111111111111111111111111110000000001111111111	22.58
49	2,2,3,3,7,1,0,2,0,7,0,6,1,1,5	11100000000001111111111111111111111111111111111111	22.58
50	7,4,2,5,6,3,2,1,1,1,5,0,2,3,4	11111111111111111111111111111111111111111111111111	5.64
53	5,0,7,5,6,3,7,0,0,1,5,0,2,0,3	11111111111111111111111111111111111111111111111111	5.64
58	5,0,6,0,1,4,6,6,5,0,2,4,2,5,1	11111111111111111111111111111111111111111111000000	16.93
74	5,2,0,0,5,2,2,2,1,2,6,3,0,6,0	11111111111111111111111111111111111111111111111111	5.64
76	1,5,2,2,7,6,4,7,6,6,5,0,6,1,1	11111111111111100000000000000000001111111111111110	25.4
86	5,1,7,7,5,7,2,2,3,7,3,1,0,0,0	11111100000000000000001111111111111111111111111111	22.58
98	4,7,3,7,2,4,0,7,1,2,1,7,2,0,3	11100000000000000000000000111111111111111110000000	28.22
101	0,6,6,2,0,0,6,4,7,1,3,4,4,1,7	11110000001111111100000011111111000001111111100000	31.04
102	4,5,7,0,4,3,4,5,6,6,7,5,5,1,3	11110000011111111111000001111111111000001111111111	31.04
103	4,3,5,3,6,1,2,6,6,6,2,3,3,6,4	11100000000001111111111111111111000000111111100000	36.69
105	1,6,3,1,0,0,5,1,0,4,0,4,5,0,7	11111000000011111111111111111111100000001111111111	28.22
108	4,1,5,7,4,2,4,3,7,4,3,6,6,6,2	11111000001111111111111000001111111111110000011111	33.86
110	1,6,4,7,7,6,0,1,4,3,5,0,1,5,4	11111111100000000000000000011111111111111111111111	22.58
111	7,4,6,1,2,3,7,2,6,2,3,7,2,4,2	11111111000001111111111111111111111111000001111111	28.22
120	0,4,4,6,4,7,7,1,6,7,1,7,3,6,6	11100000111111111111111111100000111111111111111111	25.4
122	2,7,1,2,6,7,3,6,0,7,6,1,7,1,7	11111111111100000000000111111111111100000000001111	28.22
123	7,3,4,4,0,6,4,3,6,0,6,0,3,2,6	11111111111111111111111111111111111111111111000000	16.93
130	4,5,7,4,5,4,7,3,2,7,1,3,6,3,1	11111111110000000011111111111111111000000001111111	28.22
135	0,3,0,4,0,0,7,0,4,1,3,4,4,0,0	11111111111111000000011111111111111111111000000011	28.22
161	2,6,4,4,4,6,4,7,2,0,3,1,0,1,1	11111111111111111111111111111111111111111111111111	5.64
175	7,0,5,4,4,5,1,0,0,2,4,7,3,3,1	11111111111111000011111111111100000111110000011111	33.86
187	4,7,4,1,6,3,2,4,3,4,5,1,6,1,6	11111100000000000111111111000000000000111111111000	31.04
188	4,0,6,3,6,7,1,5,4,5,7,0,6,7,3	11111111111111111111110000000000000000011111111111	22.58
190	0,3,4,7,7,3,3,7,5,0,6,3,4,6,5	11111111111111111111111111111000000011111111111111	22.58
200	2,5,4,0,7,0,1,3,3,6,3,4,4,6,6	11110000000111111111111111000000011111111111111100	28.22
205	4,7,7,2,0,5,1,0,3,5,1,6,7,7,0	11111111100011111111100011111111000111111110001111	31.04
209	0,6,7,4,5,1,5,6,7,4,2,4,6,7,6	11110000000111111111100000011111111110000001111111	31.04
217	0,1,7,6,3,4,6,0,1,6,3,0,5,4,6	11111111111111111111111111111110000000000000000111	22.58
219	2,0,0,4,2,2,1,7,1,3,3,3,7,5,0	11111111111111111111110000000111111111111111111111	22.58
224	4,1,6,1,4,2,3,7,7,1,5,3,3,6,0	11111111111111111111111111111111111111111111111111	5.64
