file_number	genotype_raw	phenotype_binary	complexity_entropy
1	6,5,2,0,0,1,2,6,2,2,1,7,7,6,3	11111110000111111111111110000111111111111100001111	33.86
2	4,2,0,0,7,5,7,4,0,4,1,6,4,0,3	11111000000111111111111111111111100000000111111111	31.04
14	1,2,7,2,7,3,0,2,6,5,2,4,3,2,7	11000001111111111111111110000000000011111111111000	33.86
15	1,5,1,3,7,0,6,2,6,3,4,2,6,1,5	11111000000000001111111111100000000000111111111100	31.04
19	1,6,1,7,5,2,2,7,0,3,6,4,4,2,7	11111111100000011111111111111110000001111111111111	28.22
20	0,0,2,2,7,1,4,1,1,2,1,7,1,0,1	11111000000111111111111111111111111111111111111111	22.58
21	7,2,6,2,4,6,7,7,0,5,7,6,2,5,0	11111111111111111111111111111111111111111111111111	5.64
34	6,0,6,5,1,2,0,0,4,6,3,3,0,5,4	11000000000111111111111111111111111111111111111111	22.58
35	6,2,4,7,2,2,5,4,3,5,7,4,6,3,5	11111100000011111111111000000111111111111000000111	33.86
41	0,1,1,4,0,2,4,5,0,1,6,1,1,0,5	11111111111111111111111111111100000000000001111111	22.58
42	4,5,1,5,7,4,0,5,0,4,6,4,4,7,6	11111110000001111111111100000111111000000111110000	39.51
44	4,4,4,3,5,7,1,0,3,3,2,4,6,4,7	11100000011111111111000000111110000001111100000011	33.86
56	2,5,4,2,1,7,4,4,3,2,3,2,6,0,2	11111110000000111111111100000001111111110000000111	33.86
57	4,6,1,2,5,1,4,5,7,4,5,5,7,4,4	11110000001111111111100000011111111111000000111111	28.22
61	3,6,3,4,0,6,6,7,6,7,3,2,7,6,1	11111111111111000000111111111111110000000111111111	28.22
64	1,6,0,7,6,0,7,5,7,2,7,3,5,3,3	11111111111110000000000111111111111111111111000000	28.22
67	4,7,1,2,7,1,0,5,1,7,3,6,0,5,6	11100000001111111111111111111111111111111111111111	22.58
70	5,3,3,7,1,0,6,1,2,3,5,4,5,5,7	11111111111000000011111111111111111000000011111111	28.22
85	6,6,1,6,5,2,7,7,4,1,4,1,3,6,4	11111111111111111111111111111111111111111111111111	5.64
88	1,4,2,7,0,3,3,0,5,7,3,1,4,1,3	11110000000000111111111000000111111100000011111100	39.51
92	1,5,1,0,2,4,4,4,6,0,6,7,2,2,1	11111111111111111111111000000111111111111111111111	22.58
93	3,6,7,1,3,2,0,6,2,7,0,5,3,2,3	11100000001111111111111111111111111111111110000000	25.4
95	5,4,0,6,1,4,2,2,1,6,3,7,2,4,5	11100000111111111111111111111000000000000000111111	31.04
96	6,7,3,0,5,1,5,0,0,0,7,6,1,1,2	11111111111111111111111111111111111111111111111111	5.64
109	5,6,2,0,1,5,1,4,2,4,0,3,3,4,0	11111111111000000001111111111111111111111111111100	28.22
112	6,7,4,1,6,3,5,6,5,5,5,3,4,3,5	11111000000000111111111111111000000001111111111111	28.22
113	0,3,7,5,7,5,2,7,1,4,7,6,0,5,0	11111111111111111111111111111111111111111111100000	16.93
119	3,4,6,5,6,5,0,2,7,6,5,4,0,5,6	11000000111111111111111111111111111111111111111111	22.58
124	7,5,1,0,5,1,7,1,0,7,5,4,4,2,2	11111111111111111111111000000011111111111111111111	22.58
127	4,5,6,7,1,5,1,5,0,2,3,5,7,7,6	11111111111100001111111111000011111111110000111111	28.22
137	7,2,5,6,7,3,3,3,6,1,5,0,3,3,5	11111111111111111111111100000000000000000000000000	16.93
138	1,1,0,3,6,1,6,4,5,1,3,1,1,7,5	11111111111111111111111111111111000000000000000000	16.93
139	5,1,4,5,1,6,7,0,3,6,1,2,5,3,1	11111111111000000000111111111111111110000000000111	28.22
149	2,3,4,0,6,1,3,4,6,5,3,5,3,3,5	11100000001111111111111111110000001111111111111111	28.22
150	0,0,3,7,3,1,3,0,2,1,7,4,6,4,4	11111111111111111111110000001111111111111111111111	22.58
151	6,7,1,2,3,7,3,5,4,1,3,0,3,1,7	11111111110000000000000000000000001111111111111111	22.58
153	2,1,2,5,4,0,0,5,4,6,2,4,3,5,1	11100000001111111111111111110000000000111111111110	33.86
160	1,4,1,6,5,7,1,0,3,2,5,6,5,0,6	11000011111111110000000111111100000001111110000000	39.51
168	1,6,0,3,6,0,0,7,4,6,5,0,1,2,6	11100000000000000000000011111111111111111111111111	22.58
179	7,4,6,4,1,3,6,1,6,5,0,3,6,0,1	11100000000011111111111111111111111111111000000000	25.4
184	7,3,6,6,1,6,1,6,4,0,4,3,7,2,0	11111111111111111111111111111100000011111111111111	22.58
195	6,0,0,5,6,5,2,4,4,3,0,1,7,0,4	11111111111111111111111111111111111110000000000000	16.93
199	2,2,0,4,6,7,0,1,6,7,6,2,1,0,2	11111111111100000000000000000000000000000000000000	16.93
210	5,1,5,0,1,3,3,2,6,6,5,6,7,2,4	11100001111111000011111111000011111110000111111110	33.86
211	4,7,1,7,2,3,5,1,5,0,3,3,0,3,4	11111111111111111000000000000111111111111111111111	22.58
223	6,1,7,3,4,4,1,0,0,2,2,3,7,4,5	11111111111000000111111111111000000111111111111100	28.22
230	4,2,4,1,1,1,6,4,5,1,0,6,6,1,7	11100000011111111111111111111111111111100000111111	28.22
234	6,3,4,6,5,3,1,7,2,2,4,4,7,3,5	11110000001111111100001111000011110000111100001111	33.86
249	1,3,5,4,4,1,5,0,7,1,7,4,0,1,7	11110000000001111111111111111111111111111111111111	22.58
251	4,1,2,1,3,0,4,3,2,5,0,0,5,3,7	11111110000000000000000000000000000000111111111111	22.58
267	0,7,6,0,6,6,4,4,2,0,4,3,5,6,4	11111111111111111111111111111111111111111111111111	5.64
272	0,5,6,3,4,1,3,0,0,6,2,4,6,6,4	11111111111110000001111111111111110000011111111111	28.22
284	3,7,4,6,4,2,0,5,0,0,2,2,6,5,5	11111111111111111111111000000001111111111111111111	22.58
285	5,7,6,4,7,0,0,6,6,0,4,6,5,5,4	11111000001111111111111000000111111111111100000111	33.86
290	3,7,3,0,4,2,7,5,5,1,4,7,4,4,2	11111111111111111100000111111111111111111111111110	25.4
293	2,4,5,5,4,3,5,1,6,5,6,3,6,1,7	11100000011111111000000011111111000000011111111000	31.04
301	0,2,1,6,4,5,2,4,0,6,5,3,7,0,2	11111100000011111111000000111111110000001111111100	28.22
303	3,1,3,1,1,6,5,7,3,5,1,5,6,6,5	11111000001111111111111110000011111111111111000001	33.86
306	7,0,6,1,1,6,2,4,3,2,1,0,6,0,6	11100000000000000011111111111000000000111111111110	31.04
310	3,1,2,3,0,2,5,3,4,6,4,3,2,7,6	11111100000000111111111111111111000000111111000000	36.69
311	0,4,6,4,6,0,4,0,3,6,4,3,3,6,5	11111110000000011111111111111110000000001111111111	28.22
316	7,7,7,7,1,5,2,3,2,2,2,7,0,3,3	11111000000111111111111111111111111111111111111111	22.58
323	0,5,2,5,7,4,1,7,7,7,7,1,7,5,1	11111111100000000001111111110000000001111111111000	31.04
327	4,6,2,2,6,3,0,7,6,0,5,4,0,6,3	11111111000000001111111111111111111111111111111111	22.58
328	1,4,6,1,3,2,5,4,5,7,5,6,0,2,7	11100000011111111111111111111111111111111111111111	22.58
352	3,2,6,6,6,5,0,6,3,7,4,5,0,1,0	11100000001111111111111111111111111111111111111111	22.58
368	6,5,2,5,6,2,1,7,6,4,1,3,6,7,4	11100000000011111111111111110000000001111111100000	33.86
375	6,7,3,4,7,2,0,5,7,3,2,1,3,0,3	11111111111111111111111111111000000000000111111111	22.58
384	1,4,7,2,4,1,1,0,2,3,1,0,1,6,2	11111111111111111111100000000000000000000000000111	22.58
394	0,6,1,7,2,6,6,0,5,2,7,5,3,6,5	11111111111110000011111111111111111110000011111111	28.22
399	0,6,1,6,6,2,4,5,0,0,4,4,6,2,5	11111111111111111111111111111111111111111111111111	5.64
408	4,0,3,4,4,6,2,2,2,1,4,6,7,0,7	11000001111111000000111111000000111111000000111111	31.04
411	6,1,4,4,3,7,3,2,4,5,6,1,7,3,7	11111000000000001111110000011111000001111100000111	33.86
413	7,1,3,1,0,0,5,7,5,7,1,7,2,3,6	11000000111111111111111111111111111111000000000000	25.4
414	6,5,7,6,6,0,3,7,2,1,0,1,3,5,0	11111111111111111111111111111111111111111111111000	16.93
415	7,0,4,1,4,4,7,4,3,4,0,7,7,4,0	11111111110000011111111111111111111111111111100000	25.4
421	6,0,3,3,3,7,6,3,2,6,1,5,5,1,3	11100000011111111111111111000000000011111111111000	33.86
