file_number	genotype_raw	phenotype_binary	complexity_entropy
4	6,3,5,2,0,1,6,4,4,3,1,0,4,7,7	11111111111111111100000000000000000000001111111111	22.58
6	4,7,6,0,3,3,7,3,5,7,3,1,2,1,7	11111000000000000000011111111111111111110000000000	28.22
10	0,5,4,2,1,4,0,3,6,3,3,2,2,6,1	11111110000001111111111111000000111111111110000000	31.04
16	7,6,1,0,7,2,5,2,0,2,4,0,6,2,2	11111111111111111111111111111111111111111111111111	5.64
17	7,7,0,3,2,3,0,7,2,5,1,2,5,7,0	11111111100000000001111111111111100000000011111111	28.22
23	6,5,6,2,0,4,7,0,4,7,6,3,2,7,3	11111111111111100000000111111111111111111111110000	28.22
29	1,5,4,6,7,6,2,4,7,0,1,6,4,3,1	11111111000001111111111111111110000011111111111111	28.22
30	6,0,0,4,5,5,5,1,2,4,7,3,4,6,5	11111111111111000000000111111111111110000001111111	31.04
47	2,5,3,5,0,2,5,4,0,0,0,4,7,3,1	11111111111111111111111111111111111111111111111111	5.64
49	2,2,3,0,6,5,1,2,7,7,0,3,1,1,5	11000000000001111111111111111111111111111111111111	22.58
50	3,2,0,0,6,3,6,7,5,1,5,1,2,4,4	11111111111111111111111111111111110000000000000000	16.93
53	5,0,0,5,6,2,2,1,0,1,4,0,2,2,2	11111111111111111111111111111111111111111111111111	5.64
58	3,0,6,0,5,4,6,2,5,1,7,4,2,4,1	11111111111111111111111111111111111111111111110000	16.93
74	3,2,0,7,0,1,4,5,1,7,3,2,0,6,0	11111111111111111111111111111111111111111100000000	16.93
76	1,5,0,2,7,6,4,1,4,1,6,0,6,1,4	11111111111111111111111111111000000000000000000000	16.93
86	5,4,6,7,0,4,2,6,2,7,3,1,1,0,6	11100000000000111111111111111111111111111111000000	28.22
98	7,7,2,2,2,4,0,3,1,7,3,0,2,0,2	11111111100000000000000011111111111111111111110000	28.22
101	0,7,2,0,5,4,6,4,2,2,7,0,4,5,7	11111111111111111111111111111111111111111111111111	5.64
102	4,6,7,7,4,4,4,0,0,6,3,5,5,4,3	11111111111110000011111111111111111000001111111111	28.22
103	4,4,7,3,7,1,2,5,6,5,7,0,7,5,0	11111111111111111111111111111111111111111111111111	5.64
105	3,6,4,1,5,0,5,0,3,4,0,3,5,7,7	11111100000000000111111111111111111111111111111110	25.4
108	4,1,5,7,4,1,1,2,7,4,3,5,6,1,1	11000001111111111000000011111100000001111110000000	33.86
110	2,7,7,7,5,6,5,4,6,6,5,0,1,5,5	11111111111111110000000000000000000000000001111111	22.58
111	7,2,6,1,5,3,6,3,6,2,3,7,4,3,2	11111100000111111111111111110000011111111111111111	25.4
120	1,4,4,6,3,6,2,1,2,7,4,7,1,6,1	11111110000111111111111111111111100001111111111111	28.22
122	6,7,1,6,5,5,3,6,5,2,7,1,7,1,7	11111000000000000111111000000111110000011111100000	33.86
123	7,3,4,0,0,4,1,2,6,0,6,4,3,2,1	11111111111111100000011111111111111110000001111111	25.4
130	5,0,7,4,5,6,7,0,4,0,1,3,6,1,1	11111111111111111111000000001111111111111111111111	22.58
135	6,3,3,4,7,0,7,0,4,1,6,4,4,0,0	11111111111111111110000000001111111111111111111111	22.58
161	6,6,7,4,4,6,4,3,2,0,7,5,2,4,6	11111111111111111111111111111111000000011111111111	22.58
175	7,0,0,5,4,3,2,0,1,0,7,7,3,6,1	11111111111111111111111111111111111111111111111111	5.64
187	4,5,7,2,7,3,6,0,3,6,5,1,2,3,0	11111111111111111111111111111111111111111111111111	5.64
188	3,3,1,4,1,7,1,5,4,5,7,0,3,7,5	11111111111111100000000000000000001111111111110000	25.4
190	5,3,4,3,4,3,3,7,6,4,6,3,1,1,4	11100000000011111111111111111111111111111111111111	22.58
200	2,0,4,0,7,5,0,0,1,6,3,0,7,6,6	11111111000000000000111111110000000000011111111100	31.04
205	4,1,1,6,1,5,1,7,3,7,1,6,7,7,0	11111000011111111111100000000001111111110000000000	33.86
209	6,6,1,4,5,1,1,2,6,4,2,4,6,6,7	11000000011111111111110000000011111110000000011111	36.69
217	2,6,7,5,3,4,5,2,3,5,2,0,5,4,6	11111111111111000000000000000000111111111111111000	25.4
219	5,0,0,4,2,6,4,7,1,3,3,6,2,2,7	11100000011111111111111111111111000000000000000111	31.04
224	1,7,6,1,4,2,7,6,7,1,7,3,3,6,0	11111111111111111111111111111111111111111111111111	5.64
226	6,2,0,1,2,5,0,0,0,1,7,0,0,6,3	11111111111111111111111111111111111111111111111111	5.64
232	4,7,5,4,1,3,5,2,5,7,3,2,0,2,4	11110000000000000111111111111111111111111111111111	22.58
236	5,4,1,4,4,3,3,7,5,0,6,1,4,7,2	11111111111111111111111111111111111111111111111111	5.64
237	3,0,7,2,7,1,7,4,5,0,7,2,4,5,7	11111111111111111111111111111111111111111111111111	5.64
241	1,2,3,0,4,1,5,0,2,4,5,7,6,3,6	11111100001111111111100001111111111100001111111111	25.4
242	4,5,0,0,6,5,2,1,6,0,1,1,2,1,5	11111110000000000000000001111111111111111111111111	22.58
245	3,2,3,3,5,2,3,4,0,6,5,1,0,2,4	11111111111111111111000000000000000000001111111111	22.58
247	4,3,5,1,4,5,5,0,0,5,6,3,2,3,5	11111111111111111111111110000000011111111111111111	22.58
250	2,7,6,7,2,1,6,3,4,6,2,1,3,4,0	11111111111111111111111111111111100000000000000111	22.58
257	0,2,7,0,1,2,4,6,7,1,3,2,6,7,1	11111111111111111111111111111111111111000000011111	22.58
258	4,0,7,6,4,0,2,6,0,2,2,2,5,1,1	11111111111111111111000000000011111111111111111111	22.58
260	5,3,2,0,4,2,0,7,6,0,2,0,7,5,2	11111111111111111111100000000000000000011111111111	22.58
261	3,7,1,1,7,0,7,4,1,4,1,2,3,3,3	11111111111111100000000000000111111111111111111111	22.58
263	5,7,1,1,7,6,2,6,1,7,7,4,5,4,6	11111100000011111111111110000001111111111111000000	25.4
264	0,2,3,3,6,6,4,2,1,3,4,1,7,5,7	11111111111111111111111110000000000111111111111111	22.58
265	6,3,5,2,6,1,2,5,6,1,3,5,5,1,0	11111111000000111111111111111000000111111111111111	25.4
266	2,4,1,6,1,3,7,7,7,6,0,5,4,2,1	11110000000111111111111111111111111111111110000000	25.4
268	2,0,7,3,6,6,5,4,6,1,1,3,7,4,1	11111111111111100000011111111111111111100000001111	28.22
270	1,5,5,5,4,6,7,4,0,5,5,0,1,7,4	11111111111111111111111111111111111111111111111111	5.64
271	1,1,7,5,6,5,7,6,5,2,7,6,3,3,5	11111111000001111111111111110000011111111111111110	31.04
275	5,2,4,5,5,4,7,6,4,5,5,0,0,4,7	11111111111111111111100000000000000000000000000000	16.93
278	4,6,7,5,3,6,1,1,2,0,5,4,5,3,4	11111111111111100000111111111111100000011111111111	31.04
283	4,0,6,7,7,0,1,7,6,4,5,6,0,1,2	11000000111111111111111111111111111111111111111111	22.58
294	3,1,4,2,6,6,1,0,4,4,6,1,3,7,2	11111111111111110000000000001111111111111111110000	28.22
296	7,1,7,2,4,1,6,3,2,1,6,3,1,5,1	11111111111111111111111111111111111111111111111111	5.64
305	2,4,3,1,0,4,0,0,1,7,0,5,2,0,0	11111110000000000000000000000000000000000111111111	22.58
314	6,0,7,7,6,5,0,3,6,6,6,4,7,0,2	11111111111111000000111110000001111110000000000000	33.86
320	3,6,5,1,5,7,6,0,2,5,3,2,0,6,3	11111111111111111111100000000000001111111111111111	22.58
325	4,2,6,5,7,1,5,4,0,2,5,1,0,1,3	11111111111111111111111111111111111111111111111111	5.64
326	1,7,0,1,4,6,1,4,1,0,4,7,1,3,7	11111111100000111111111111111111111111111111100000	25.4
329	4,4,7,1,0,7,4,5,3,4,3,0,7,7,1	11111111111111111111111111111111111111111111111111	5.64
330	3,0,6,7,2,6,4,2,2,7,3,4,0,3,0	11111111111110000000011111111111111111111111111111	22.58
335	7,6,7,3,6,1,3,7,4,6,6,4,0,2,5	11100000000011111111111111111111111111111111111111	22.58
338	7,7,5,3,7,3,5,3,1,7,6,4,0,1,1	11111111111000000000111111111111111111111111111111	22.58
339	3,5,0,4,1,1,6,0,2,0,2,0,7,7,2	11111111111111111111111111111111111111111111111111	5.64
343	3,4,3,7,7,7,1,1,3,4,6,2,4,6,6	11111100000000111111111110000011111100000111111000	36.69
347	0,1,5,1,1,5,1,0,2,4,2,6,3,2,5	11100001111111111111000001111110000001111100000011	42.33
350	6,4,7,5,0,3,5,3,1,4,4,0,1,1,5	11111111111111111111110000000000000000000000000111	22.58
354	1,6,7,2,0,0,4,5,1,0,2,2,4,2,4	11111111111111111111111111111111111000000000111111	22.58
358	0,1,7,4,7,5,7,4,6,3,0,4,6,7,6	11111000000011111111111111111111110000001111111111	28.22
363	3,5,1,3,0,3,5,3,6,5,5,7,7,6,3	11111000011111111000011111111000011111111100011111	33.86
364	5,7,7,0,6,4,0,0,2,7,7,4,1,0,0	11111111111111111111111111111111111111111111111111	5.64
365	2,2,6,4,5,7,1,4,4,6,2,2,1,7,5	11110000000000111111111111111111111111111111111000	28.22
373	6,6,4,2,3,0,2,2,6,0,4,6,2,2,3	11111110000001111111111111111111111111110000001111	28.22
376	5,2,4,6,2,4,3,0,7,1,7,1,6,3,0	11111111111111111111111111111111111111111111111111	5.64
377	1,7,7,3,6,5,0,5,0,4,0,3,0,2,2	11111110000000000001111111111111111111111111111111	22.58
380	2,0,3,2,2,7,5,2,2,5,1,0,4,0,3	11111100000000000000000000111111111110000000000111	31.04
383	5,3,0,6,0,5,4,1,7,0,4,3,0,2,6	11111111000000000011111111111111111111111111111111	22.58
386	1,7,4,2,4,1,7,1,1,4,7,3,7,3,5	11111111111111111111111100000000111111111111111111	22.58
397	2,0,5,4,2,7,5,4,4,6,3,1,6,4,2	11111111111110000000000111111111111110000000000111	25.4
401	1,3,0,6,2,0,3,2,7,0,4,3,2,3,1	11111111111111111111111110000000000111111111111111	22.58
405	1,1,7,4,1,6,1,3,1,2,6,1,0,7,0	11111111111111111111111111111111111111111111111111	5.64
412	5,6,0,5,2,6,5,5,6,2,3,0,4,2,3	11111111111111111100000000000000000000000001111111	22.58
443	4,0,6,7,0,7,4,4,5,7,5,1,7,5,0	11111111111111111111111111111111111100000000011111	22.58
454	4,6,5,3,2,6,2,2,5,0,7,3,5,5,2	11111111111111111111111111111111111111111000000011	22.58
461	6,7,7,6,7,7,5,7,7,0,6,7,2,0,4	11110000001111111111111111111111111100000011111111	28.22
466	7,0,3,7,3,3,3,3,0,5,7,1,1,3,3	11111111111111111111111111111111111111111111000000	16.93
470	0,1,5,5,5,1,4,0,7,1,3,0,4,7,6	11111111111111111111111111111110000000000000000000	16.93
476	4,1,3,1,1,3,6,6,5,6,1,4,7,5,0	11111111111000000111111111111111100000011111111111	28.22
478	4,1,0,7,6,4,0,0,2,6,5,0,1,4,0	11111111111111111111111100000000000000000000000000	16.93
479	3,5,1,1,4,5,4,5,4,2,3,0,4,4,3	11111111111111111111111111111111111100000000000000	16.93
481	2,2,5,5,1,5,4,1,1,7,2,0,3,2,4	11111111111111000000000000000000011111111111111111	22.58
482	3,4,6,0,4,0,5,6,3,0,7,3,5,6,3	11111111111111111111111111111111111111111111111111	5.64
485	1,0,5,4,2,4,7,6,5,6,7,2,5,3,1	11111111111111111111100000000111111111111111111111	22.58
486	4,2,5,7,5,6,4,6,3,0,4,2,1,6,6	11111111111111111111111111111111111111111110000000	16.93
492	7,4,4,4,0,3,4,7,4,3,7,4,5,1,7	11100000011111111000011110000111100001111000011110	36.69
493	3,1,6,4,3,3,0,2,1,1,2,5,0,5,5	11111000000011111111111111111111111111111111111111	22.58
500	0,6,2,5,5,6,5,2,3,6,5,5,5,6,3	11111111100000111111111111100001111111111111000001	33.86
501	1,3,1,2,7,7,5,5,6,5,2,3,4,1,0	11111110000000011111111111111111000000001111111111	28.22
509	1,2,1,2,4,1,3,5,4,3,1,1,0,3,7	11111000000000000000000000011111111111111111111111	22.58
512	2,2,1,3,3,0,0,4,7,6,3,0,1,7,4	11100000000000000000000000001111111111111111111111	22.58
515	7,3,1,3,4,1,2,4,0,0,4,2,5,5,1	11111111111111111111111111111111111111111111111111	5.64
527	1,1,4,0,6,5,1,5,7,0,5,1,1,2,2	11111111111111111100000000000000111111111111111111	22.58
533	2,5,3,0,2,2,7,6,6,0,5,7,0,1,4	11111111110000001111111111111111111111111111111111	22.58
540	3,2,1,5,1,2,7,1,4,0,6,3,1,3,1	11111111111111111111111111111111111111111111111111	5.64
549	6,7,5,4,7,1,2,4,6,6,6,0,4,7,0	11111111111111111111111111111111111111111111111111	5.64
551	2,5,1,0,7,7,0,6,6,0,3,0,7,5,0	11111111111111111111111111111111111111111111111111	5.64
552	6,0,2,6,3,3,7,3,7,2,2,0,0,5,5	11111111111111111111110000000000000000000000000000	16.93
556	4,3,4,3,2,3,5,4,3,1,0,5,1,5,1	11111111111111000000011111111111111111111111111111	22.58
561	3,3,1,0,2,3,6,4,7,4,1,0,5,1,5	11111100000000000000000000001111111111000000000000	28.22
566	3,4,1,3,0,7,5,4,1,1,1,2,3,1,0	11111111111111111111111111111111111111110000000001	19.75
568	1,5,6,6,0,2,0,0,3,5,6,2,7,3,4	11110000111111000011111000011111000001111100001111	39.51
569	5,5,6,1,7,0,5,0,3,5,5,4,2,6,3	11111111111100000000011111111111111111111111111111	22.58
