file_number	genotype_raw	phenotype_binary	complexity_entropy
8	2,3,1,3,2,0,7,6,0,0,4,4,4,2,1	11111111111111111111111111111111111111111111111111	5.64
18	4,5,7,5,5,5,7,6,1,1,2,5,1,0,6	11111000000001111111111111111111111111111111111111	22.58
31	6,6,4,4,5,3,4,7,5,2,3,6,1,1,4	11100000001111111111111111111111111111111111111111	22.58
33	4,0,1,1,1,1,3,1,1,7,0,4,4,6,2	11111100000000111111111111111111111111111111000000	28.22
36	5,3,6,2,5,3,7,1,5,7,7,7,1,7,2	11111111100000011111111111111111111111111111111110	25.4
37	3,5,4,2,0,2,5,6,4,0,4,2,2,6,5	11111111111111111111111111111111111111111111111110	14.11
43	1,4,1,7,5,1,5,2,0,6,0,4,5,7,6	11111111100000000111111111111111111111111111111111	22.58
45	4,5,4,3,2,7,4,4,5,2,1,3,2,6,0	11111111111111111111111000000001111111111111111111	22.58
46	6,5,7,6,1,6,5,2,6,4,1,1,2,5,6	11111100000000000000011111111111111111111111110000	28.22
54	6,0,3,3,0,3,2,6,4,4,7,0,6,2,5	11111111100000000000000000011111111000000011111111	31.04
63	3,4,2,4,1,7,5,4,5,0,3,5,3,5,0	11111111111111111111111111111111111111111111111111	5.64
71	5,4,1,3,3,5,7,4,2,0,3,6,0,5,5	11111111111111111111111111111100000001111111111111	22.58
78	7,4,0,0,5,5,2,2,6,7,3,4,0,4,7	11100000000111111111111111111111111111111111111111	22.58
83	0,5,1,6,7,4,0,7,6,1,3,7,1,6,7	11000001111111111111111111111111111111111111111110	25.4
84	1,4,0,6,3,7,6,1,5,7,4,5,1,2,1	11111000000111111111111111111111111111111111111111	22.58
91	2,3,3,6,0,4,1,6,6,2,0,3,6,0,1	11100000001111111111111111111111100000000000000000	25.4
94	0,2,6,5,3,3,3,6,5,6,0,4,0,1,4	11000000000000011111111111111111111111111111111111	22.58
114	4,2,2,1,5,1,4,5,7,0,5,2,2,1,3	11111111111111000000000000011111111111111111111111	22.58
115	2,7,4,0,5,2,4,3,3,0,6,2,2,5,5	11111111111111111111111111111111111111111111111111	5.64
118	4,5,0,0,3,4,2,5,1,1,0,7,4,3,4	11111100000011111111111111111111111111111111100000	25.4
126	0,5,4,1,0,7,7,2,7,1,3,3,0,1,7	11111000000001111111111111111111111111111111110000	28.22
128	5,1,2,0,1,5,5,5,4,4,5,0,4,6,7	11111111111111111111111111100000000000000000000011	22.58
129	2,3,4,3,6,3,7,2,2,4,6,1,2,3,4	11111111111111111111111111111110000000000000000111	22.58
131	2,1,7,3,1,7,7,0,3,2,5,7,0,4,6	11111111000001111111111111111111111111111111111111	22.58
133	5,4,0,4,5,3,6,2,6,2,2,2,1,0,6	11000000000000111111111111111111111111111111111111	22.58
134	6,1,3,2,5,6,4,4,0,7,5,4,6,3,0	11111111111111111111111111111111111111111111000000	16.93
170	2,1,1,5,1,3,3,6,0,1,6,2,7,3,1	11111111111111111111111111111111111111111111111111	5.64
174	6,3,7,6,3,4,5,5,4,7,7,4,0,1,5	11100000000111111111111111111111111111111111111111	22.58
176	1,2,3,2,5,3,0,0,2,4,4,5,4,1,3	11100001111111111110000001111111000000011111100000	39.51
178	4,1,0,0,6,0,5,7,4,6,1,5,0,0,4	11000000000001111111111111111111111111111111111111	22.58
185	7,2,2,6,1,0,7,6,2,7,1,6,0,7,7	11110000000001111111111111111111111111111111111111	22.58
189	4,0,1,5,7,1,4,1,0,3,0,2,7,6,6	11111111111111000000000000011111111111111111111111	22.58
191	6,7,7,3,6,5,5,4,1,6,0,4,5,7,5	11111110000000011111111111111111111111111111000000	28.22
193	7,6,3,2,4,4,7,0,7,1,7,0,4,6,6	11111111111111111111111111111111111111111111111111	5.64
194	5,1,1,4,3,7,4,3,0,6,1,4,3,6,7	11111110000000011111111111111111111000000000001111	31.04
196	6,3,4,0,6,7,0,3,4,0,7,7,4,1,0	11111111111111111111000000111111110000000011111110	31.04
197	4,5,0,7,0,2,4,4,2,6,4,2,4,3,0	11111111111111111111110000000001111111111111111111	22.58
198	4,4,4,1,6,5,5,6,3,7,7,3,5,5,5	11111111100000001111111111111100000000111111111111	28.22
202	2,2,1,1,2,5,2,2,7,2,2,6,1,6,2	11111000000111111111111111111111111111111111000000	25.4
203	4,3,0,4,3,2,5,5,1,1,1,6,4,0,2	11111000000111111111111111111111000000000011111111	31.04
207	1,5,3,6,4,5,7,2,7,2,4,0,5,2,4	11111111111111111111110000000000000000000011111111	22.58
214	2,6,1,2,3,6,3,0,5,1,5,6,1,0,4	11100000011111111111111111111111111111111111111000	28.22
216	1,7,3,4,4,2,7,0,1,4,0,4,6,4,4	11111111100000001111111111111111111111111000000011	28.22
220	6,3,6,3,3,2,0,2,1,6,7,1,1,4,3	11111111100000000000000111111111111111111111111110	25.4
222	6,3,2,2,3,0,3,1,7,0,7,2,0,7,6	11111111111111111111111111111100000000000000000111	22.58
225	7,5,3,6,1,0,6,6,5,0,2,7,5,4,6	11111111100000011111111111111111100000011111111111	28.22
227	2,4,5,6,5,7,3,6,0,7,0,3,2,3,0	11111111111111111000000001111111111111111111111111	22.58
228	7,5,6,6,3,1,4,0,0,4,6,5,1,3,2	11111111111111111111111111100000001111111111111111	22.58
233	2,0,1,7,4,1,1,1,1,5,1,6,6,7,3	11110000011111111111111100000000001111111111000000	33.86
238	7,5,5,6,0,5,7,6,1,3,1,2,1,5,0	11111111111111111111111111111111111111111111111111	5.64
287	0,1,6,7,2,5,6,7,6,7,3,6,2,4,5	11100000111111111111111110000011111111111111110000	31.04
289	1,6,1,1,7,6,4,0,3,1,6,3,5,4,1	11111111111111111111111111111111111111111111111111	5.64
292	6,3,7,7,0,1,3,4,4,6,1,3,1,5,1	11111110000000001111111111111111111111111111110000	28.22
295	2,7,0,5,5,0,6,2,2,7,6,5,0,0,4	11100000001111111111111111111111111111111111111111	22.58
298	3,2,1,6,7,5,3,5,0,7,7,7,6,1,1	11111100001111111110001111100011111000111110000111	36.69
300	4,5,5,3,1,1,0,7,7,6,2,1,4,0,0	11110000000000111111111110000000001111111110000000	33.86
302	5,7,2,6,7,3,5,6,4,4,4,4,1,7,0	11111111111111111111111111111111110000000001111111	22.58
304	2,0,0,1,4,1,3,0,4,4,5,7,1,5,5	11100000011111111111111111111111111111111111111111	22.58
307	7,3,1,7,6,0,6,0,1,3,5,6,6,2,0	11111111111111111111111111100000011111111111111111	22.58
317	6,0,7,7,1,1,7,1,6,4,6,3,2,3,0	11111111111111111111111111111000000000111111111111	22.58
318	4,6,5,5,1,0,4,4,7,0,1,0,2,1,7	11111111110000000000000000000000000000111111111111	22.58
321	4,4,2,0,4,0,3,3,1,1,0,6,0,4,0	11111111111111111111110000000011111111111111111111	22.58
322	5,7,3,6,4,0,3,4,1,5,3,3,3,5,5	11111111000000000011111111111111111111110000000000	25.4
324	5,0,0,0,0,4,5,4,7,4,2,0,2,2,5	11111100000000000000000000000001111111111111111111	22.58
331	6,5,2,7,7,3,0,3,7,7,0,5,2,5,0	11100000000011111111111111111111111111111111111110	25.4
332	3,7,3,4,2,1,5,1,6,2,1,2,3,5,2	11111111111100000000000111111111111111111111111000	28.22
333	6,6,4,2,2,5,6,6,6,6,2,3,6,2,2	11111000000011111111111100000000111111111110000000	31.04
336	4,0,1,4,5,4,5,0,7,6,6,6,2,5,2	11110000001111111111111111111111111111111100000000	25.4
337	2,7,4,0,7,0,6,7,0,1,1,6,1,6,7	11111111111111111111111100000001111111111111111111	22.58
346	7,1,1,0,0,0,5,0,3,2,4,2,1,7,7	11111111111111111000000000000001111111111111111111	22.58
355	3,2,1,4,2,3,3,0,2,4,0,4,1,6,0	11111111111110000000011111111111111111111111111111	22.58
356	7,1,2,2,1,3,4,6,5,2,7,1,7,6,7	11111111111111111110000000000001111111111111111111	22.58
359	6,7,6,0,3,4,7,6,2,5,7,6,3,5,1	11111111111111111111111111111111111111111000001111	22.58
361	3,7,3,6,1,7,7,4,6,2,6,3,3,2,2	11111111111111000000011111111111111111111100000001	28.22
362	6,1,3,1,1,6,5,6,0,4,7,7,2,6,2	11111111111111111111111111111111111111111111110000	16.93
366	0,3,0,1,5,4,5,3,1,3,7,1,5,2,0	11111111111111111111111111111111111111111111111111	5.64
367	1,3,5,3,4,0,0,5,3,1,2,2,0,3,5	11110000000000000111111111111111111111111111111111	22.58
371	3,0,6,3,3,5,7,1,3,0,6,3,6,2,7	11111111111111111111111111100000001111111111111111	22.58
372	1,5,3,2,1,3,2,2,6,5,6,3,0,5,6	11110000000011111111111111111111111111111111111111	22.58
374	4,4,6,5,0,0,7,1,0,2,3,7,1,0,2	11111111110000001111111111111111111111111000001111	28.22
378	5,4,6,5,3,2,0,1,1,6,2,3,0,0,5	11100000000001111111111111111111111111111111111111	22.58
389	6,3,3,2,0,7,1,0,5,2,5,6,1,5,4	11110000111111111111111111111111111111111111111111	22.58
390	5,5,2,1,7,0,4,3,6,1,7,5,0,7,2	11111111111111111111111110000000001111111111111111	22.58
393	2,3,0,6,5,0,1,4,0,5,7,1,5,3,4	11111111111111111000000000000001111111111111111111	22.58
398	6,2,6,4,2,0,3,1,1,3,2,0,3,1,3	11111111111111111100000000000000000000000001111111	22.58
409	5,3,7,6,4,5,0,5,5,7,7,2,4,6,6	11100000111111111110000000011111111000000001111111	33.86
410	6,4,4,0,6,2,5,6,1,0,7,5,5,3,7	11111111111111111111111111111111111111111100000001	19.75
417	1,1,7,2,3,7,7,3,5,1,2,2,4,3,5	11111111111100000000111111111111111110000000011111	28.22
418	7,7,3,2,2,1,0,4,4,5,2,0,1,1,2	11111000000000000000000000011111111111111111111111	22.58
419	7,7,2,6,4,3,6,0,6,0,1,5,3,5,2	11111111111111111000000011111111111111111111111111	22.58
420	5,4,2,4,5,0,3,1,6,5,0,7,3,2,0	11110000001111111111111111111111111111111111111111	22.58
424	6,6,3,1,6,4,4,4,5,4,2,4,0,2,1	11111100000000011111111111111111111111111111111111	22.58
426	4,4,3,1,4,1,3,2,3,1,0,6,4,7,5	11111100000001111111111111111111111111111111111000	28.22
428	3,1,6,4,7,6,1,2,5,6,0,6,2,7,4	11000000001111111111111111111111111111111111111100	28.22
429	6,1,6,6,1,1,4,7,3,4,4,0,2,3,6	11111111111111100000000000000000000000000011111111	22.58
431	2,3,2,4,4,4,3,1,3,6,6,5,2,7,3	11111110000001111111111111111111111000000111111111	28.22
434	1,3,2,1,3,7,6,3,6,7,7,4,1,2,4	11110000000111111111111111111111111111100000001111	28.22
436	1,7,5,1,5,5,7,2,2,2,1,4,2,1,6	11111100000001111111111111111111111111100000001111	28.22
441	6,0,2,3,5,4,5,5,5,6,4,1,5,4,2	11111111111100000000000000111111111000000111111000	33.86
444	2,7,7,0,7,4,0,3,0,3,0,1,0,2,0	11111111111111111111111110000000000000000111111111	22.58
447	5,6,6,0,0,2,0,5,7,3,6,1,2,5,2	11111111110000000000111111111111111000000000011111	28.22
451	5,4,5,4,4,4,0,6,2,2,0,3,0,6,2	11111100000000000011111111111111111111111111111111	22.58
458	5,4,4,2,0,5,3,5,4,0,5,2,2,6,6	11111111111111111111111111111111100000000001111111	22.58
462	1,6,4,5,3,6,5,1,4,1,2,0,1,3,0	11111111111111111111111111111111111111111111111111	5.64
463	5,6,6,6,4,3,2,3,6,1,7,3,5,5,6	11111111000000001111111111110000000011111111111100	28.22
530	4,1,4,1,3,4,0,0,5,5,5,3,0,4,4	11100000000111111111111111111111111111111111111111	22.58
531	2,0,1,3,3,4,7,3,3,1,4,3,5,1,3	11111111111110000000011111111111111111110000000011	28.22
534	7,1,1,7,6,3,7,5,5,7,1,3,1,1,7	10000000000111111111111111111111111111111111100000	25.4
539	3,4,7,7,2,3,5,7,1,4,0,1,2,1,3	11111111000000000000000001111111111111111111111111	22.58
541	4,1,2,6,1,5,3,1,0,7,4,6,0,5,5	11111110000001111111111111111111111111111111111111	22.58
