file_number	genotype_raw	phenotype_binary	complexity_entropy
3	2,6,4,4,4,3,4,0,5,4,2,3,3,4,6	11110000000001111111111111111110000000011111111111	28.22
5	3,7,6,7,0,3,4,6,7,2,3,6,7,1,1	11111000111111110000111111100001111111000011111111	31.04
9	7,2,2,4,3,3,5,4,5,0,2,1,7,5,7	11111111111111111111111110000000000000111111111111	22.58
11	5,2,3,6,2,5,7,3,3,6,6,4,6,2,2	11111111000000111111111111000000111111111111000000	25.4
12	7,7,5,1,7,6,7,0,1,1,5,2,6,4,3	11111111111111111111111111111111111111111111111111	5.64
13	0,7,0,6,0,6,5,7,2,3,5,5,7,6,4	11111111111111100001111111111111100001111111111111	22.58
24	6,1,0,2,6,0,2,0,4,4,6,0,2,7,5	11111111111111111111100000000000000000000000000000	16.93
38	0,1,4,7,0,0,5,0,3,3,7,2,2,6,3	11111111111111111111111111111111111100000000001111	22.58
48	5,3,0,5,2,6,3,6,7,3,2,7,7,6,6	11000001111111111100000000111111110000000011111111	33.86
52	2,0,0,6,2,5,6,2,4,0,2,1,3,7,6	11111111111111111111111111111111111111111111111110	14.11
55	4,2,3,1,7,3,2,5,2,5,0,7,4,7,5	11100000011111111111111111111111111111111111110000	28.22
59	4,2,3,7,3,3,4,2,3,3,5,2,6,0,6	11100000000111111110000011111000000111110000011111	39.51
60	5,4,5,5,6,2,3,7,2,0,0,6,6,5,3	11111111111100000011111111111111111111111111111000	28.22
62	6,2,5,1,0,7,5,4,2,3,7,6,6,2,2	11111111111100001111111111100001111111111110001111	31.04
65	1,3,6,0,5,5,6,0,1,4,1,1,3,6,2	11111111111111111111111111111111111111100000000000	16.93
68	3,7,5,5,2,3,7,2,1,3,0,7,0,5,2	11111111111000000001111111111111111111111111111111	22.58
75	0,7,4,2,6,3,2,1,3,2,3,3,2,3,3	11111111000000001111111111111111111000000011111111	28.22
80	1,0,1,7,2,3,1,7,6,6,0,5,1,0,3	11000000000001111111111111111111111111111111111000	28.22
82	5,6,3,7,6,7,3,2,6,4,4,6,3,2,0	11111100000111111111111111100001111111000011111100	39.51
