file_number	genotype_raw	phenotype_binary	complexity_entropy
7	4,3,4,4,6,7,7,5,1,0,1,3,6,1,3	11111111111111111111111100000000111111111111111111	22.58
22	4,2,1,3,5,7,1,5,4,1,0,7,6,4,1	11111000001111111111111111111111111111110000000000	25.4
25	0,6,7,4,3,1,0,3,3,7,2,0,1,5,2	11111110000000000000000000011111111111111111110000	28.22
26	2,7,4,7,6,6,0,3,2,5,4,1,6,3,7	11110000001111111110000001111111000000111111100000	31.04
27	1,7,7,4,0,6,6,1,5,5,3,6,7,3,3	11111000111111000111111000111111000111111000111111	22.58
28	1,1,5,4,3,1,1,0,3,3,7,5,1,1,0	11111111000001111111111111111111111110000001111111	28.22
32	0,0,7,7,2,2,6,2,0,7,5,5,4,2,7	11111111000001111111111000001111111111000001111111	28.22
39	4,2,4,6,2,5,6,3,0,4,3,7,0,2,0	11111111111111111111111111111111111000001111111111	22.58
40	2,5,6,2,1,2,3,6,7,6,4,6,1,5,2	11110000011111111111111111111111000001111111111111	28.22
51	6,4,0,0,0,7,0,3,1,3,1,1,6,2,1	11111111111100000000000000000111111111111000000000	25.4
66	2,0,7,0,0,4,5,0,5,6,4,6,7,7,3	11111100011111110000111111000011111100001111111000	33.86
69	3,0,4,5,4,4,0,1,5,1,0,3,4,1,0	11110000000001111111111111111111111111100000000000	25.4
72	6,0,7,7,4,0,1,5,3,5,1,5,2,6,1	11110000000011111111111111111111111111100000000000	25.4
73	6,1,2,0,3,1,6,0,7,1,7,7,7,7,3	11111111111111111000001111111111111111111111000001	28.22
77	6,6,7,2,2,5,1,4,7,5,6,1,2,2,4	11110000000000011111111111111110000000011111111100	36.69
79	1,7,7,2,3,1,0,5,2,6,6,3,6,7,4	11111100000111111110000011111111000001111111100000	25.4
81	6,7,1,0,6,5,3,3,1,1,2,5,5,3,6	11111111100000011111111111111111100000011111111111	28.22
90	6,3,3,6,7,4,0,4,7,0,0,5,7,0,1	11100000011111111111111111111111111111100000000000	25.4
156	6,2,2,1,0,5,5,6,5,3,5,5,1,4,1	11111111111100000011111111111111111111111111111100	28.22
159	4,7,3,0,0,7,3,1,0,5,5,3,7,3,1	11111111111111111111111111111111111111111111111111	5.64
162	7,6,6,5,4,3,4,7,4,7,7,2,6,6,5	11111111100000000011111111111100000000011111111111	25.4
164	4,5,3,4,6,6,3,4,6,2,4,5,6,0,0	11111000001111111111110000111111111111000001111111	33.86
165	6,4,7,1,4,5,4,7,4,7,0,6,2,7,5	11100000001111111111111111111111111111111111111111	22.58
166	1,2,6,5,6,1,3,4,4,3,6,6,5,4,3	11111100000111111111111000011111111111100000111111	33.86
167	0,5,6,4,4,0,3,0,0,7,6,6,7,2,6	11111110000111111111000011111111100000111111111000	33.86
169	7,7,6,7,3,4,5,0,6,1,6,5,7,3,0	11111111111111111111111111111111111111000001111111	22.58
