file_number	genotype_raw	phenotype_binary	complexity_entropy
1	6,5,2,2,0,1,2,6,2,2,5,4,6,6,7	11111111000000111111111110000001111111111110000001	33.86
2	4,2,0,3,7,5,7,4,1,6,3,7,4,7,5	11111110000001111111111111110000011111000001111100	36.69
14	6,1,4,6,7,3,0,2,6,7,5,5,3,0,6	11111100000000001111111111110000000000001111111111	31.04
15	0,5,6,3,7,0,6,2,6,1,3,2,6,0,4	11111000000000011111111100000000001111111110000000	28.22
19	1,6,1,7,5,7,0,5,0,3,6,4,4,0,7	11110000000000001111111111000000000011111111110000	31.04
20	0,0,2,1,4,6,2,1,1,5,1,7,0,0,1	11100000000111111111111111111111111111111111111111	22.58
21	3,5,6,6,4,6,0,7,0,5,7,6,2,5,7	11111000011111111111111111100000000000011111111111	31.04
34	6,3,6,2,1,5,0,0,5,6,5,3,7,5,0	11111110000011111100000111110000011111000001111100	31.04
35	6,1,5,4,0,3,1,4,3,5,7,1,6,5,5	11111110000000001111111111000000001111111000001111	36.69
41	7,1,1,0,6,6,1,5,4,1,6,2,7,0,6	11100000000111111100000111111000001111110000011111	33.86
42	4,4,1,7,7,1,5,2,6,4,5,0,4,7,6	11111111111111111111111100000000000000000000000000	16.93
44	1,4,4,2,5,2,1,0,0,3,2,4,0,0,7	11110000000011111111111111111111111111111111111111	22.58
56	2,0,1,7,1,0,4,0,5,6,3,7,6,0,2	10000111111111000000011111110000000111111100000000	31.04
57	4,3,1,2,5,1,0,1,7,1,7,5,7,5,7	11100000111111100001111000011110000111100001111000	33.86
61	2,0,7,4,1,6,1,7,6,5,5,5,3,6,1	11111000011111111110000011111100000011111100000011	36.69
64	5,0,0,7,6,7,0,0,7,7,2,5,1,3,1	11111111000000000000000000000000000000111111111111	22.58
67	2,7,2,0,7,1,0,5,3,3,5,5,0,5,2	11111111000000111111111111111111111111111111111111	22.58
70	2,3,5,0,1,2,4,1,2,3,5,6,5,5,7	11111111000011111111111100001111111111100001111111	33.86
85	4,6,0,6,5,2,7,1,3,1,1,7,3,1,6	11110000001111111111111111111111111111000000000000	25.4
88	3,1,3,7,7,3,3,7,2,0,3,1,4,1,3	11111111111111111111111111110000000000000011111111	22.58
92	0,5,4,3,7,4,0,6,6,0,6,4,2,6,1	11111111111111111000000111111111111111000000111111	28.22
93	0,6,7,1,3,2,5,7,2,4,5,4,6,2,3	11111111111100000111111111111000000111111111111000	31.04
95	5,4,4,1,1,4,2,5,6,6,6,2,4,0,6	11100000011111111110000000111111000000011111110000	39.51
96	6,1,0,6,6,1,5,0,0,6,1,2,1,4,1	11111111111111111111110000000000000001111111111111	22.58
109	5,3,3,3,2,5,0,4,2,4,4,3,3,4,0	11111111111000000111111111110000000111111100000001	33.86
112	0,5,1,1,6,4,5,2,5,5,5,6,4,1,5	11100000111111111111100001111111111111000001111111	33.86
113	7,3,7,2,7,4,0,7,7,4,7,6,0,5,6	11000001111111111111111111111111111111111111111111	22.58
119	1,4,1,5,6,5,0,2,0,1,6,4,6,7,6	11111111111111111000001111111111000001111111111000	28.22
124	7,5,1,0,6,2,7,7,0,7,5,5,4,1,0	11111111111111111111111111111111110000001111111111	22.58
127	7,3,6,6,1,4,1,2,7,2,3,5,7,7,6	11100001111111110000111110000111110000011110000011	39.51
137	7,1,4,6,7,5,3,5,6,6,7,4,3,3,1	11111000000011111111111111110000000111111000000011	36.69
138	3,0,0,2,1,1,2,4,1,1,3,1,0,0,5	11111000000000000000000001111111111111111111111111	22.58
139	1,1,4,5,1,6,6,1,3,7,0,3,5,7,1	11111111110000000111111111111111111110000000111111	28.22
149	6,3,4,4,6,1,3,1,6,5,3,3,5,4,3	11110000000001111111111111110000000011111111111111	28.22
150	0,1,3,7,1,4,1,6,6,1,7,7,6,4,4	11110001111110000111111000111111000111111000111111	31.04
151	4,5,1,3,3,0,3,4,5,6,3,2,3,1,7	11000000000001111111111111111100000000001111111110	31.04
153	7,5,4,5,6,3,2,5,4,6,5,4,0,1,1	11110000000011111111111111111111111111111111111111	22.58
160	1,4,6,4,5,7,2,7,3,2,5,6,5,5,5	11111100001111111110000111111111000011111111100001	28.22
