file_number	genotype_raw	phenotype_binary	complexity_entropy
1	6,5,2,0,0,1,2,6,6,2,0,1,7,6,0	11111111111111111100000000000001111111111111111111	22.58
2	4,2,0,0,1,5,7,4,0,4,4,7,4,0,5	11111000011111111111110000011111100000111111000000	33.86
14	1,2,2,2,7,3,0,2,6,5,5,5,3,2,4	11000001111111111111111000000000011111111100000000	33.86
15	1,5,1,3,7,0,6,2,7,1,4,2,6,1,4	11111111000000000001111111111111000000000000111111	28.22
19	1,6,1,3,5,1,2,5,0,3,6,4,4,2,7	11111111100000001111111111111111100000001111111111	28.22
20	0,0,2,2,4,1,2,1,1,5,1,7,1,0,1	11100000011111111111111111111111111111111111110000	28.22
21	7,5,6,2,4,6,4,7,0,5,7,6,2,6,4	11111111111111111111111111000001111111111111111111	22.58
34	6,1,6,5,1,2,0,0,4,6,4,3,7,5,4	11000001111111000000111111000001111110000011111100	36.69
35	6,2,1,4,2,3,1,4,3,5,7,4,6,3,5	11100000111111100000011111000000111110000011111100	39.51
41	0,1,1,2,0,4,4,5,0,1,6,1,7,0,6	11111111111111111111111111000000000111111111111111	22.58
42	4,4,1,5,7,4,7,5,6,4,0,4,4,7,6	11110000000000111111111111111111111111111111111111	22.58
44	1,4,4,3,5,1,1,0,3,3,2,4,6,4,7	11100000011111111111100000011111111111000000111111	33.86
56	2,5,1,2,1,0,4,4,5,2,3,6,6,0,2	11110000011111111111100000111111111111000001111111	28.22
57	4,6,1,2,5,1,7,1,7,1,5,5,7,5,4	11111111111110000001111111111111111111000000111111	28.22
61	3,0,3,4,0,6,6,7,6,7,5,5,3,6,1	11111111100000111111111111111000001111111111111111	25.4
64	1,6,0,7,6,0,7,5,7,7,2,5,1,3,3	11100000000011111111111111111111111111111111111111	22.58
67	1,7,1,2,7,1,0,5,1,3,5,6,0,5,6	11110000001111111111111111111111111111111111111111	22.58
70	1,3,5,7,1,0,4,1,2,3,5,6,5,5,7	11111110000111111111110000011111111110000011111111	33.86
85	6,6,0,6,5,2,7,7,4,1,1,1,3,4,4	11111111111111111110000000000000000000111111111111	22.58
88	1,1,7,7,0,3,3,0,5,0,4,1,4,1,3	11111111111111111110000000000111111111111111111000	25.4
92	0,5,1,3,2,4,4,4,6,0,6,2,2,2,1	11111111111111111111111111111111111111111111111111	5.64
93	3,6,7,1,3,2,0,6,2,4,6,5,3,2,3	11111000011111111111100000111111111110000111111111	33.86
95	5,4,0,6,1,4,2,5,1,6,3,2,2,5,0	11111111111111111111111000000000011111111111111111	22.58
96	6,7,0,0,5,1,5,0,0,7,7,2,1,1,1	11111111111111111111111111111111100000000000001111	22.58
109	5,6,3,0,4,5,0,4,2,4,0,3,7,4,0	11111111110000000111111111111111111111110000011111	31.04
112	6,7,1,1,6,3,5,2,5,5,5,6,4,3,5	11110000011111111111111111100000011111111111111111	28.22
113	7,5,7,5,7,0,2,7,1,3,7,6,0,5,0	11111111111111111111111111111111111111111111000000	16.93
119	3,4,5,5,6,5,0,2,0,7,5,4,0,5,1	11111111111100000011111111111111111111111111111111	22.58
124	7,5,1,0,5,1,7,1,3,7,5,5,4,2,2	11111110000000111111111111111111100000011111111111	28.22
127	4,5,6,5,1,4,1,2,7,2,3,5,7,7,6	11100001111111110000111111111000011111111000011111	33.86
137	7,2,6,6,7,3,3,5,6,1,7,0,3,3,5	11111111111111111111111111111110000000000000000000	16.93
138	3,1,0,0,1,1,6,4,5,1,3,1,1,7,5	11111111111111111111111111111111000000000000000000	16.93
139	1,1,4,5,1,6,7,0,3,6,6,7,5,3,1	11111111110000111111111110000111111111110000111111	25.4
149	7,3,4,0,6,1,3,1,3,5,3,5,3,4,5	11110000000111111111111111111111000000011111111111	28.22
150	0,1,3,7,3,1,1,6,6,1,7,4,6,4,4	11111100000111111111000001111111110000011111111100	28.22
151	4,7,1,2,3,0,3,4,4,1,3,0,3,1,7	11111111110000000000000000000000000000011111111111	22.58
153	2,1,0,5,4,3,0,5,4,6,5,4,3,1,1	11100000000000001111111111110000000000001111111111	28.22
160	1,2,4,6,5,7,1,0,3,2,5,6,5,5,6	11110000111111110000111110001111000011110000111100	39.51
168	1,1,0,3,1,0,0,5,4,6,5,0,1,2,0	11111111110000000000000000000000000011111111111111	22.58
179	1,4,6,4,1,3,4,6,6,5,0,6,6,0,1	11100000111111111111111111111110000001111110000001	36.69
184	1,3,6,6,1,6,1,6,6,0,4,1,7,2,5	11111111100000000111111110000000111111110000000011	31.04
195	6,0,2,5,6,5,2,3,4,7,4,1,7,0,4	11111111111111111111111111111111111111111111111111	5.64
199	2,2,4,4,6,7,3,1,6,2,6,2,1,2,2	11111111110000000000011111111111111111111111111111	22.58
210	5,1,1,0,1,3,1,2,6,6,3,6,7,7,4	11000001111111110000011111000000111110000011111000	39.51
211	4,7,6,7,2,3,5,0,5,0,2,6,0,3,4	11111111110000000111111111111111111111111111111111	22.58
223	6,1,7,3,0,0,1,2,0,2,2,3,7,4,7	11111111100000011111111111000000011111111111000000	28.22
230	4,5,4,0,1,5,6,4,5,1,0,6,6,1,7	11110000011111111111111111111111111110000011111111	28.22
234	6,3,4,5,5,3,1,4,2,2,4,3,4,3,5	11111000000001111111111110000011111100000111110000	39.51
249	1,3,5,4,4,1,5,0,7,0,7,2,6,1,4	11111111111111111100000000011111111111111111111000	28.22
251	4,3,6,1,4,0,4,3,2,5,0,2,5,3,7	11111000000000000011111111111111111111111111111111	22.58
