n_size KC shannon_entropy
3 1.7291 1.57185263239878
5 6.213425 4.52541725663526
7 10.395297469 7.36777329259486
10 16.28743149995 11.5477798971337
12 20.1316435333 12.7334295948661
15 25.8624034626623 17.3169290420798
17 29.64064 18.3339856634492
20 35.2139261514517 20.1287576821394
25 46.3801317415415 9.67571223792119
